ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
GOOGL.US,202606241600,344.98,345.04,345.05,344.97,20260,6970996,-1.33,0.02
MSFT.US,202606241600,365.07,365.11,365.12,365.07,24345,8786808,-0.61,0.01
ORCL.US,202606241600,157.4,157.425,157.425,157.4,888,140523,-10.08,0.02
