ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
MRVL.US,202606241600,275.15,275.25,275.25,275.15,14215,3876253,-10.59,0.03
CRWD.US,202606241600,672.49,672.5,672.55,672.443,1211,813509,-0.44,0.0
AVGO.US,202606241600,381.16,381.315,381.32,381.16,10539,4016527,-2.76,0.04
