ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
ZS.US,202606241600,127.18,127.27,127.35,127.14,327516,41657686,2.59,0.07
NVDA.US,202606241600,198.19,198.3,198.325,198.19,36485,7224820,-4.96,0.06
AMD.US,202606241600,518.305,519.36,520.12,518.305,597994,311123920,-5.85,0.2
