ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
AMD.US,202606241600,518.305,519.36,520.12,518.305,597994,311123920,-5.85,0.2
MSFT.US,202606241600,365.07,365.11,365.12,365.07,24345,8786808,-0.61,0.01
MU.US,202606241600,1037.88,1048.5,1049.0,1037.855,748681,782756512,-13.45,1.02
