ts_code,time,open,close,high,low,vol,amount,pct_change_1m,pct_change
LEN.US,202606241600,92.83,92.95,92.97,92.83,716979,66581204,0.13,
DHI.US,202606241600,166.05,166.51,166.5,166.04,777653,128891048,0.29,6.68
TOL.US,202606241600,160.82,161.03,161.08,160.695,283654,45682376,0.13,
