ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
INTC.US,202606241600,131.21,131.13,131.23,131.13,47625,6256391,-6.96,-0.06
TSLA.US,202606241600,375.47,375.39,375.9,375.27,602981,226165308,-7.32,-0.02
META.US,202606241600,557.83,557.73,558.06,557.57,212561,118378955,-1.09,-0.02
