Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2026-05-20T04:00:00.000Z,298.1799926758,302.799987793,298.0799865723,302.25,38229800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-05-21T04:00:00.000Z,301.0599975586,305.5400085449,300.3999938965,304.9899902344,42965100,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-05-22T04:00:00.000Z,306.1199951172,311.3999938965,305.8399963379,308.8200073242,43670200,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-05-26T04:00:00.000Z,309.5599975586,311.8200073242,307.6700134277,308.3299865723,48000500,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-05-27T04:00:00.000Z,308.3299865723,313.2600097656,308.299987793,310.8500061035,50430900,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-05-28T04:00:00.000Z,310.6799926758,312.799987793,309.5700073242,312.5100097656,48220400,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-05-29T04:00:00.000Z,311.7799987793,315.0,309.5299987793,312.0599975586,70026800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-06-01T04:00:00.000Z,309.6300048828,310.9400024414,305.0199890137,306.3099975586,48849900,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-06-02T04:00:00.000Z,307.4599914551,315.450012207,306.6900024414,315.200012207,44534700,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-06-03T04:00:00.000Z,314.1799926758,316.9400024414,308.8500061035,310.2600097656,50836700,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-06-04T04:00:00.000Z,313.2300109863,313.5400085449,309.6499938965,311.2300109863,44869100,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-06-05T04:00:00.000Z,312.8599853516,315.1700134277,307.1499938965,307.3399963379,65246700,0.0,0.0,AAPL,苹果,Apple Inc.,USD
