Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,thscode,thsname_cn,thsname_en,currency
2026-05-20T04:00:00.000Z,85.5800018311,86.0699996948,84.8099975586,85.5199966431,14035000,0.0,0.0,0.0,XLP,NA,NA,USD
2026-05-21T04:00:00.000Z,84.5599975586,84.7699966431,83.4400024414,84.6600036621,13185200,0.0,0.0,0.0,XLP,NA,NA,USD
2026-05-22T04:00:00.000Z,84.7200012207,85.1200027466,84.4400024414,84.8000030518,7889900,0.0,0.0,0.0,XLP,NA,NA,USD
2026-05-26T04:00:00.000Z,84.7900009155,84.8899993896,83.5299987793,83.6299972534,9475800,0.0,0.0,0.0,XLP,NA,NA,USD
2026-05-27T04:00:00.000Z,84.0199966431,85.1600036621,83.9000015259,84.5800018311,12224200,0.0,0.0,0.0,XLP,NA,NA,USD
2026-05-28T04:00:00.000Z,84.8600006104,84.9499969482,84.3700027466,84.4300003052,6414300,0.0,0.0,0.0,XLP,NA,NA,USD
2026-05-29T04:00:00.000Z,83.9700012207,84.0999984741,82.8499984741,82.9100036621,13011100,0.0,0.0,0.0,XLP,NA,NA,USD
2026-06-01T04:00:00.000Z,82.5100021362,82.6399993896,81.6800003052,82.0299987793,20246700,0.0,0.0,0.0,XLP,NA,NA,USD
2026-06-02T04:00:00.000Z,81.9199981689,82.2900009155,81.4800033569,81.8300018311,15723400,0.0,0.0,0.0,XLP,NA,NA,USD
2026-06-03T04:00:00.000Z,81.7900009155,82.7200012207,81.6500015259,82.1600036621,14750300,0.0,0.0,0.0,XLP,NA,NA,USD
2026-06-04T04:00:00.000Z,83.3399963379,83.6100006104,81.8399963379,82.0400009155,12184700,0.0,0.0,0.0,XLP,NA,NA,USD
2026-06-05T04:00:00.000Z,82.5899963379,84.3899993896,82.4400024414,83.4400024414,17013200,0.0,0.0,0.0,XLP,NA,NA,USD
