Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,thscode,thsname_cn,thsname_en,currency
2026-05-20T04:00:00.000Z,115.2699966431,117.9499969482,114.7799987793,117.9400024414,12155100,0.0,0.0,0.0,XLY,NA,NA,USD
2026-05-21T04:00:00.000Z,117.5899963379,119.2200012207,116.8099975586,118.6999969482,7082300,0.0,0.0,0.0,XLY,NA,NA,USD
2026-05-22T04:00:00.000Z,119.1600036621,119.8700027466,118.9800033569,119.1800003052,5289800,0.0,0.0,0.0,XLY,NA,NA,USD
2026-05-26T04:00:00.000Z,119.7300033569,120.2399978638,118.6999969482,119.4499969482,5007100,0.0,0.0,0.0,XLY,NA,NA,USD
2026-05-27T04:00:00.000Z,120.6900024414,121.9499969482,120.5500030518,121.5500030518,13116100,0.0,0.0,0.0,XLY,NA,NA,USD
2026-05-28T04:00:00.000Z,121.0999984741,122.1900024414,120.5699996948,122.0599975586,7591900,0.0,0.0,0.0,XLY,NA,NA,USD
2026-05-29T04:00:00.000Z,121.5999984741,122.1800003052,120.8300018311,120.8700027466,7258000,0.0,0.0,0.0,XLY,NA,NA,USD
2026-06-01T04:00:00.000Z,119.6900024414,119.8300018311,117.9700012207,118.1900024414,11012100,0.0,0.0,0.0,XLY,NA,NA,USD
2026-06-02T04:00:00.000Z,117.5199966431,118.2699966431,116.5599975586,117.5899963379,8219300,0.0,0.0,0.0,XLY,NA,NA,USD
2026-06-03T04:00:00.000Z,116.6299972534,117.6200027466,116.1299972534,116.7300033569,6086400,0.0,0.0,0.0,XLY,NA,NA,USD
2026-06-04T04:00:00.000Z,117.9599990845,118.1900024414,117.0400009155,117.2600021362,4969900,0.0,0.0,0.0,XLY,NA,NA,USD
2026-06-05T04:00:00.000Z,117.4000015259,118.0999984741,114.5699996948,114.8600006104,7699300,0.0,0.0,0.0,XLY,NA,NA,USD
