contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
ADBE260612C00170000,2026-05-22T15:05:42.000Z,170.0,74.6,78.6,84.05,0.0,0.0,6,6,2.3027386182,True,REGULAR,USD
ADBE260612C00180000,2026-06-04T18:36:53.000Z,180.0,81.44,68.7,73.95,0.0,0.0,1,23,2.0127002808,True,REGULAR,USD
ADBE260612C00195000,2026-05-15T14:57:39.000Z,195.0,51.33,54.1,59.9,0.0,0.0,2,1,1.1494183154,True,REGULAR,USD
ADBE260612C00200000,2026-06-05T16:35:54.000Z,200.0,51.2,49.05,53.8,-9.799999,-16.065573,34,44,1.4819361841,True,REGULAR,USD
ADBE260612C00205000,2026-05-29T15:50:35.000Z,205.0,52.2,44.45,49.6,0.0,0.0,10,10,0.9672854834,True,REGULAR,USD
ADBE260612C00215000,2026-06-04T16:52:14.000Z,215.0,46.35,35.25,40.4,0.0,0.0,5,42,0.9609378906,True,REGULAR,USD
ADBE260612C00220000,2026-06-05T16:15:08.000Z,220.0,32.5,30.9,35.9,-10.419998,-24.277723,2,52,0.9475102905,True,REGULAR,USD
ADBE260612C00225000,2026-05-27T15:57:49.000Z,225.0,22.3,26.6,31.15,0.0,0.0,5,6,0.8979502393,True,REGULAR,USD
ADBE260612C00227500,2026-06-05T17:27:17.000Z,227.5,27.35,25.25,29.15,5.6499996,26.036865,5,2,0.937500625,True,REGULAR,USD
ADBE260612C00230000,2026-06-05T14:34:08.000Z,230.0,25.2,23.5,26.9,-4.5,-15.151514,15,60,0.9284675122,True,REGULAR,USD
ADBE260612C00232500,2026-06-04T15:57:06.000Z,232.5,34.24,21.65,24.95,0.0,0.0,1,2,0.9234626794,True,REGULAR,USD
ADBE260612C00235000,2026-06-04T19:44:44.000Z,235.0,21.75,19.85,23.6,-6.75,-23.684212,1,42,0.9426275269,True,REGULAR,USD
ADBE260612C00237500,2026-06-05T15:22:34.000Z,237.5,19.3,18.65,21.5,-20.150002,-51.077316,3,24,0.9460454614,True,REGULAR,USD
ADBE260612C00240000,2026-06-05T18:44:29.000Z,240.0,18.78,16.65,20.05,-5.2199993,-21.749996,43,56,0.9360357959,True,REGULAR,USD
ADBE260612C00242500,2026-06-05T17:15:48.000Z,242.5,16.86,15.3,18.15,-8.889999,-34.52427,22,15,0.9281013049,True,REGULAR,USD
ADBE260612C00245000,2026-06-05T19:51:19.000Z,245.0,15.5,14.65,17.0,-6.120001,-28.307125,38,195,0.9724123853,True,REGULAR,USD
ADBE260612C00247500,2026-06-05T19:41:24.000Z,247.5,13.78,13.0,15.0,-7.63,-35.637554,50,7,0.9353033813,True,REGULAR,USD
ADBE260612C00250000,2026-06-05T19:57:59.000Z,250.0,12.91,12.55,13.4,-5.2199993,-28.792053,513,593,0.9550785742,True,REGULAR,USD
ADBE260612C00252500,2026-06-05T19:53:52.000Z,252.5,11.68,11.25,12.75,-4.7199993,-28.780483,146,27,0.9722903162,False,REGULAR,USD
ADBE260612C00255000,2026-06-05T19:56:30.000Z,255.0,10.74,10.25,11.0,-4.71,-30.485435,299,856,0.9520268469,False,REGULAR,USD
ADBE260612C00257500,2026-06-05T17:04:51.000Z,257.5,10.0,9.0,10.35,-3.58,-26.362297,147,120,0.958740647,False,REGULAR,USD
ADBE260612C00260000,2026-06-05T19:59:21.000Z,260.0,8.8,8.05,9.0,-3.6999998,-29.599997,471,594,0.9437261487,False,REGULAR,USD
ADBE260612C00262500,2026-06-05T19:46:27.000Z,262.5,7.42,7.65,8.05,-4.4799995,-37.647057,72,235,0.9605716833,False,REGULAR,USD
ADBE260612C00265000,2026-06-05T19:58:48.000Z,265.0,7.08,6.85,7.55,-3.1900005,-31.061348,300,1197,0.9743654907,False,REGULAR,USD
ADBE260612C00267500,2026-06-05T19:46:15.000Z,267.5,6.17,5.65,7.15,-3.71,-37.550606,54,218,0.9704592798,False,REGULAR,USD
ADBE260612C00270000,2026-06-05T19:54:57.000Z,270.0,5.62,5.3,5.85,-2.9800005,-34.651165,489,431,0.9582523706,False,REGULAR,USD
ADBE260612C00272500,2026-06-05T19:52:47.000Z,272.5,5.11,4.55,5.55,-3.6100001,-41.399082,18,124,0.9672854834,False,REGULAR,USD
ADBE260612C00275000,2026-06-05T19:35:57.000Z,275.0,4.52,4.2,4.8,-2.8200002,-38.41962,139,505,0.9689944507,False,REGULAR,USD
ADBE260612C00277500,2026-06-05T19:49:33.000Z,277.5,4.0,3.3,4.5,-3.0500002,-43.262413,45,112,0.9604496143,False,REGULAR,USD
ADBE260612C00280000,2026-06-05T19:53:59.000Z,280.0,3.55,3.3,3.7,-2.2,-38.26087,320,857,0.9670413452,False,REGULAR,USD
ADBE260612C00282500,2026-06-05T19:51:06.000Z,282.5,3.22,2.85,3.55,-1.9799998,-38.07692,27,82,0.9804689453,False,REGULAR,USD
ADBE260612C00285000,2026-06-05T19:26:41.000Z,285.0,2.83,2.65,3.1,-1.77,-38.47826,81,274,0.9873048145,False,REGULAR,USD
ADBE260612C00287500,2026-06-05T19:26:37.000Z,287.5,2.45,2.02,2.91,-2.0199997,-45.19015,19,22,0.9790041162,False,REGULAR,USD
ADBE260612C00290000,2026-06-05T19:58:53.000Z,290.0,2.3,2.0,2.3,-1.4000001,-37.837837,119,466,0.9777834253,False,REGULAR,USD
ADBE260612C00292500,2026-06-05T19:36:52.000Z,292.5,1.96,1.65,2.3,-1.72,-46.739132,16,42,0.9919434399,False,REGULAR,USD
ADBE260612C00295000,2026-06-05T18:59:13.000Z,295.0,1.74,1.42,2.19,-1.56,-47.272728,37,148,1.0041553699,False,REGULAR,USD
ADBE260612C00300000,2026-06-05T19:54:51.000Z,300.0,1.36,1.31,1.5,-1.2900001,-48.67925,1078,2171,1.009038158,False,REGULAR,USD
ADBE260612C00305000,2026-06-05T19:31:08.000Z,305.0,1.1,0.91,1.3,-1.16,-51.32743,151,188,1.0173388977,False,REGULAR,USD
ADBE260612C00307500,2026-06-05T17:51:37.000Z,307.5,1.05,0.78,1.2,-1.8500001,-63.793106,24,17,1.0239306616,False,REGULAR,USD
ADBE260612C00310000,2026-06-05T19:47:56.000Z,310.0,0.88,0.75,1.19,-0.90999997,-50.837986,221,343,1.0502977173,False,REGULAR,USD
ADBE260612C00312500,2026-06-05T18:52:38.000Z,312.5,0.82,0.71,0.87,-0.83,-50.303032,22,16,1.035649353,False,REGULAR,USD
ADBE260612C00315000,2026-06-05T19:57:01.000Z,315.0,0.7,0.68,0.78,-0.82,-53.947372,335,135,1.0478563232,False,REGULAR,USD
ADBE260612C00320000,2026-06-05T19:57:24.000Z,320.0,0.59,0.52,0.75,-0.66,-52.8,635,894,1.0761764941,False,REGULAR,USD
ADBE260612C00325000,2026-06-05T19:54:06.000Z,325.0,0.44,0.29,0.81,-0.68,-60.714287,186,219,1.1010787134,False,REGULAR,USD
ADBE260612C00330000,2026-06-05T19:34:07.000Z,330.0,0.39,0.01,0.5,-0.51,-56.666668,88,290,1.0185595947,False,REGULAR,USD
ADBE260612C00335000,2026-06-05T17:35:47.000Z,335.0,0.37,0.08,0.67,-0.44,-54.320984,13,54,1.1298871631,False,REGULAR,USD
ADBE260612C00340000,2026-06-05T19:31:25.000Z,340.0,0.28,0.0,0.66,-0.4,-58.823532,17,71,1.1543011035,False,REGULAR,USD
ADBE260612C00345000,2026-06-04T19:11:48.000Z,345.0,0.59,0.01,0.48,0.0,0.0,30,32,1.1484417578,False,REGULAR,USD
ADBE260612C00350000,2026-06-05T19:42:46.000Z,350.0,0.24,0.15,0.32,-0.23,-48.93617,195,399,1.1855509473,False,REGULAR,USD
ADBE260612C00360000,2026-06-05T17:49:42.000Z,360.0,0.12,0.0,0.36,-0.29,-70.731705,9,170,1.224613252,False,REGULAR,USD
