Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2026-03-06T05:00:00.000Z,379.9803958112,391.0157382086,367.2957218366,370.1445007324,34458800,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-03-09T04:00:00.000Z,363.8071579284,389.8362317925,357.5198211791,389.1565246582,35547200,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-03-10T04:00:00.000Z,393.8445501809,415.1355933099,393.4747104386,402.9407043457,33745400,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-03-11T04:00:00.000Z,410.5975029323,422.5724834023,405.619613603,418.5141906738,30191400,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-03-12T04:00:00.000Z,409.8278201807,413.556264746,396.5034315466,405.1797790527,31720900,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-03-13T04:00:00.000Z,413.5762735877,429.1697295206,412.8265884996,425.9510803223,39261000,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-03-16T04:00:00.000Z,445.9726564892,454.6689849669,437.5661842741,441.6144714355,43067600,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-03-17T04:00:00.000Z,452.3499727417,462.5356960802,444.9530863358,461.4961242676,43017900,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-03-18T04:00:00.000Z,464.5648593101,471.1420829782,458.1075498691,461.5361328125,58973700,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-03-19T04:00:00.000Z,424.7915515471,457.0280094101,420.933156542,444.0834350586,74591900,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-03-20T04:00:00.000Z,443.7336050322,448.9114225546,415.1855697224,422.7224121094,64224900,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-03-23T04:00:00.000Z,425.9710395633,444.0834255013,401.3513776258,404.1802062988,54807300,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-03-24T04:00:00.000Z,401.111507787,404.8099664186,388.746706631,395.3639221191,44975100,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-03-25T04:00:00.000Z,382.8391870019,388.7567147505,371.2240708567,381.9295654297,55328700,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-03-26T04:00:00.000Z,369.8646136394,374.0928483987,349.8530312345,355.3107299805,54515900,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-03-27T04:00:00.000Z,359.7088829463,368.5451979433,353.911330523,357.0700073242,45806700,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-03-30T04:00:00.000Z,362.6600036621,362.8099975586,318.3999938965,321.799987793,73833200,0.15,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-03-31T04:00:00.000Z,321.6700134277,337.8399963379,311.4899902344,337.8399963379,73551800,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-04-01T04:00:00.000Z,348.9100036621,377.8900146484,343.0,367.8500061035,74429800,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-04-02T04:00:00.000Z,341.3399963379,366.9400024414,340.200012207,366.2399902344,51498700,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-04-06T04:00:00.000Z,373.799987793,385.0799865723,370.6099853516,377.7600097656,41414900,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-04-07T04:00:00.000Z,374.1300048828,379.25,364.1000061035,377.5799865723,40224100,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-04-08T04:00:00.000Z,415.1300048828,416.0,398.8800048828,406.7300109863,49216600,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-04-09T04:00:00.000Z,407.6099853516,423.9400024414,398.4400024414,421.5100097656,43101000,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-04-10T04:00:00.000Z,420.2900085449,423.8599853516,410.049987793,420.5899963379,36377600,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-04-13T04:00:00.000Z,416.4700012207,426.8800048828,408.5,426.5599975586,37015800,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-04-14T04:00:00.000Z,434.3500061035,465.7799987793,424.8599853516,465.6600036621,52534900,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-04-15T04:00:00.000Z,457.6300048828,463.950012207,439.3200073242,456.2300109863,40370100,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-04-16T04:00:00.000Z,452.9599914551,462.3399963379,444.3800048828,457.2300109863,33626400,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-04-17T04:00:00.000Z,466.8500061035,470.9700012207,452.200012207,455.0700073242,33405000,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-04-20T04:00:00.000Z,458.25,464.5599975586,435.8999938965,448.4200134277,32013600,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-04-21T04:00:00.000Z,451.3200073242,457.8200073242,441.299987793,449.3800048828,27734000,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-04-22T04:00:00.000Z,462.9299926758,491.9800109863,458.5599975586,487.4800109863,45998100,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-04-23T04:00:00.000Z,482.2799987793,493.6199951172,471.799987793,481.7200012207,38178000,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-04-24T04:00:00.000Z,495.9200134277,506.9899902344,489.3599853516,496.7200012207,35379600,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-04-27T04:00:00.000Z,510.5599975586,531.3599853516,510.0199890137,524.5599975586,41298800,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-04-28T04:00:00.000Z,503.5400085449,518.8300170898,488.2300109863,504.2900085449,44816600,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-04-29T04:00:00.000Z,526.0,531.0200195312,508.799987793,518.4600219727,36248500,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-04-30T04:00:00.000Z,529.7399902344,535.5,502.5799865723,517.1599731445,36554400,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-05-01T04:00:00.000Z,511.7799987793,545.9099731445,510.2099914551,542.2100219727,40215300,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-05-04T04:00:00.000Z,560.5999755859,592.799987793,557.7600097656,576.450012207,46043700,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-05-05T04:00:00.000Z,609.7800292969,651.7399902344,605.4699707031,640.200012207,64268500,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-05-06T04:00:00.000Z,660.3699951172,667.6699829102,627.5800170898,666.5900268555,55725800,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-05-07T04:00:00.000Z,649.8300170898,683.0900268555,635.4199829102,646.6300048828,47527500,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-05-08T04:00:00.000Z,676.450012207,747.2100219727,676.2100219727,746.8099975586,65130900,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-05-11T04:00:00.000Z,792.9799804688,818.6699829102,768.0,795.3300170898,70972900,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-05-12T04:00:00.000Z,774.700012207,782.7600097656,706.5999755859,766.5800170898,73743000,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-05-13T04:00:00.000Z,813.1599731445,814.950012207,779.4699707031,803.6300048828,54875100,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-05-14T04:00:00.000Z,787.6199951172,812.0,775.6300048828,776.0100097656,42142700,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-05-15T04:00:00.000Z,732.5700073242,749.5900268555,719.0,724.6599731445,48519000,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-05-18T04:00:00.000Z,750.4600219727,757.0,663.25,681.5399780273,60042500,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-05-19T04:00:00.000Z,665.5800170898,725.950012207,652.2100219727,698.7399902344,61792100,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-05-20T04:00:00.000Z,734.9600219727,735.6799926758,700.6599731445,731.9899902344,48827400,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-05-21T04:00:00.000Z,736.3599853516,764.9000244141,732.200012207,762.0999755859,42461500,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
