contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
ADBE260618C00280000,2026-06-05T19:20:34.000Z,280.0,4.59,4.2,5.0,-2.6599998,-36.689655,187.0,2142,0.7641625146,False,REGULAR,USD
ADBE260618C00285000,2026-06-05T18:09:26.000Z,285.0,3.6,3.55,4.25,-1.9000001,-34.545456,79.0,975,0.7802756348,False,REGULAR,USD
ADBE260618C00290000,2026-06-05T19:58:44.000Z,290.0,3.1,2.9,3.2,-1.7000003,-35.41667,154.0,2535,0.7736839038,False,REGULAR,USD
ADBE260618C00295000,2026-06-05T17:55:13.000Z,295.0,2.49,2.27,2.66,-1.4200001,-36.31714,89.0,687,0.7778342529,False,REGULAR,USD
ADBE260618C00300000,2026-06-05T19:59:25.000Z,300.0,2.14,1.9,2.08,-1.06,-33.125,1008.0,5950,0.7824728784,False,REGULAR,USD
ADBE260618C00305000,2026-06-05T19:53:18.000Z,305.0,1.69,1.55,2.04,-1.3299999,-44.039734,47.0,1228,0.8105487695,False,REGULAR,USD
ADBE260618C00310000,2026-06-05T19:24:08.000Z,310.0,1.39,1.25,1.39,-1.17,-45.703125,82.0,1287,0.7963887549,False,REGULAR,USD
ADBE260618C00315000,2026-06-05T19:51:45.000Z,315.0,1.15,1.05,1.3,-1.6999999,-59.64912,18.0,312,0.819093606,False,REGULAR,USD
ADBE260618C00320000,2026-06-05T19:44:44.000Z,320.0,0.89,0.85,1.07,-0.78999996,-47.023808,814.0,1759,0.8256853369,False,REGULAR,USD
ADBE260618C00325000,2026-06-05T19:15:49.000Z,325.0,0.75,0.67,0.91,-0.65,-46.42857,240.0,1215,0.8330094824,False,REGULAR,USD
ADBE260618C00330000,2026-06-05T19:52:36.000Z,330.0,0.61,0.5,0.86,-0.73,-54.477615,92.0,1631,0.8471694971,False,REGULAR,USD
ADBE260618C00335000,2026-06-05T14:04:30.000Z,335.0,0.81,0.4,0.69,-0.49999994,-38.167934,3.0,185,0.8500991553,False,REGULAR,USD
ADBE260618C00340000,2026-06-05T19:35:32.000Z,340.0,0.58,0.17,0.76,-0.35000002,-37.63441,3.0,1417,0.8618177881,False,REGULAR,USD
ADBE260618C00345000,2026-06-05T17:56:44.000Z,345.0,0.5,0.3,0.7,-0.3,-37.5,4.0,569,0.9062509375,False,REGULAR,USD
ADBE260618C00350000,2026-06-05T19:43:36.000Z,350.0,0.33,0.26,0.41,-0.13999999,-29.787231,103.0,4272,0.8823253955,False,REGULAR,USD
ADBE260618C00355000,2026-06-05T17:28:40.000Z,355.0,0.41,0.21,0.41,-0.22,-34.920635,8.0,305,0.9033212793,False,REGULAR,USD
ADBE260618C00360000,2026-06-05T15:45:15.000Z,360.0,0.26,0.19,0.33,-0.19,-42.22222,22.0,1469,0.9101571484,False,REGULAR,USD
ADBE260618C00365000,2026-06-05T16:57:19.000Z,365.0,0.27,0.12,0.3,-0.42999998,-61.42857,11.0,309,0.9121102539,False,REGULAR,USD
ADBE260618C00370000,2026-06-04T16:17:08.000Z,370.0,0.26,0.11,0.32,-0.19,-42.22222,1.0,853,0.9433599414,False,REGULAR,USD
ADBE260618C00380000,2026-06-04T17:49:46.000Z,380.0,0.4,0.01,0.28,0.0,0.0,3.0,721,0.9492192578,False,REGULAR,USD
ADBE260618C00390000,2026-06-04T19:45:28.000Z,390.0,0.29,0.03,3.85,0.0,0.0,13.0,1092,1.5061059851,False,REGULAR,USD
ADBE260618C00400000,2026-06-05T19:56:21.000Z,400.0,0.13,0.13,0.2,-0.17000002,-56.66667,508.0,5529,1.066410918,False,REGULAR,USD
ADBE260618C00410000,2026-06-04T19:46:34.000Z,410.0,0.1,0.1,1.9,-0.13999999,-58.333332,1.0,410,1.4428738794,False,REGULAR,USD
