ts_code,time,open,close,high,low,vol,amount,pct_change_1m
SPY.US,202606251600,731.96,731.96,732.12,731.95,156388,114592255,0.0
QQQ.US,202606251600,714.66,716.26,716.39,714.6,825378,590429664,0.22
IWM.US,202606251600,298.345,298.85,298.87,298.32,759524,226770138,0.17
