Date,Close,Dividends,High,Low,Open,Volume,Stock Splits,Capital Gains,thscode,thsname_cn,thsname_en,currency
2025-12-05T05:00:00.000Z,,,,,,0,2.0,0.0,XLU,NA,NA,USD
2025-12-08T05:00:00.000Z,42.1079368591,0.0,42.7880496348,42.0487951464,42.7584806585,21607900,0.0,0.0,XLU,NA,NA,USD
2025-12-09T05:00:00.000Z,42.1375083923,0.0,42.5514891261,42.1177944869,42.3346436865,24347200,0.0,0.0,XLU,NA,NA,USD
2025-12-10T05:00:00.000Z,42.1177940369,0.0,42.2163635629,41.8122341461,42.1867908251,25940200,0.0,0.0,XLU,NA,NA,USD
2025-12-11T05:00:00.000Z,42.4233512878,0.0,42.5317758797,42.0389395602,42.0389395602,18703300,0.0,0.0,XLU,NA,NA,USD
2025-12-12T05:00:00.000Z,42.2163619995,0.0,42.7584812126,42.1572202861,42.5514870956,17179800,0.0,0.0,XLU,NA,NA,USD
2025-12-15T05:00:00.000Z,42.6007728577,0.0,42.6697696419,42.2163611283,42.4923482653,19176400,0.0,0.0,XLU,NA,NA,USD
2025-12-16T05:00:00.000Z,42.4233512878,0.0,42.6894833516,42.1670742961,42.5810587597,19067900,0.0,0.0,XLU,NA,NA,USD
2025-12-17T05:00:00.000Z,42.1473579407,0.0,42.5219145745,41.9305125295,42.4430627232,19444600,0.0,0.0,XLU,NA,NA,USD
2025-12-18T05:00:00.000Z,42.5613441467,0.0,42.7979034705,42.3543537984,42.4134917493,21935800,0.0,0.0,XLU,NA,NA,USD
2025-12-19T05:00:00.000Z,42.0192260742,0.0,42.7486217288,41.9896533379,42.5022035665,22612000,0.0,0.0,XLU,NA,NA,USD
2025-12-22T05:00:00.000Z,42.1751365662,0.317,42.2347175682,41.7381890144,41.9963859838,17894900,0.0,0.0,XLU,NA,NA,USD
2025-12-23T05:00:00.000Z,42.324092865,0.0,42.4531913497,42.0857612806,42.1056228773,15097300,0.0,0.0,XLU,NA,NA,USD
2025-12-24T05:00:00.000Z,42.5127754211,0.0,42.562427518,42.2545784561,42.3141632453,5761000,0.0,0.0,XLU,NA,NA,USD
2025-12-26T05:00:00.000Z,42.4829826355,0.0,42.5723579284,42.3340263395,42.4929153282,8436700,0.0,0.0,XLU,NA,NA,USD
2025-12-29T05:00:00.000Z,42.5624275208,0.0,42.8106917935,42.473052231,42.5127754239,12838700,0.0,0.0,XLU,NA,NA,USD
2025-12-30T05:00:00.000Z,42.66173172,0.0,42.7411781056,42.5127754292,42.5822891226,9255300,0.0,0.0,XLU,NA,NA,USD
2025-12-31T05:00:00.000Z,42.3936080933,0.0,42.7113860761,42.3836791886,42.6716666694,10129000,0.0,0.0,XLU,NA,NA,USD
2026-01-02T05:00:00.000Z,42.8802070618,0.0,43.0887481493,42.363816901,42.5922195857,20495400,0.0,0.0,XLU,NA,NA,USD
2026-01-05T05:00:00.000Z,42.4035415649,0.0,42.9894454419,41.7679855875,42.8901374528,27884400,0.0,0.0,XLU,NA,NA,USD
2026-01-06T05:00:00.000Z,42.6120796204,0.0,42.6617317173,42.224787961,42.4531906373,21861800,0.0,0.0,XLU,NA,NA,USD
2026-01-07T05:00:00.000Z,41.5792999268,0.0,42.6716650152,41.4502052306,42.6518034185,27613300,0.0,0.0,XLU,NA,NA,USD
2026-01-08T05:00:00.000Z,41.6984710693,0.0,41.9963874544,41.5197204807,41.5296493853,22853300,0.0,0.0,XLU,NA,NA,USD
2026-01-09T05:00:00.000Z,42.2148551941,0.0,42.5922179487,42.1949973859,42.2247878864,21518300,0.0,0.0,XLU,NA,NA,USD
2026-01-12T05:00:00.000Z,42.2843742371,0.0,42.4134689359,42.0063156658,42.0857620542,16810600,0.0,0.0,XLU,NA,NA,USD
2026-01-13T05:00:00.000Z,42.5524978638,0.0,42.6617347577,42.1254829812,42.3240951712,22207400,0.0,0.0,XLU,NA,NA,USD
2026-01-14T05:00:00.000Z,42.8702735901,0.0,43.0192336718,42.4730530193,42.5127762128,21403100,0.0,0.0,XLU,NA,NA,USD
2026-01-15T05:00:00.000Z,43.307220459,0.0,43.5157615395,43.0192329927,43.0192329927,21762700,0.0,0.0,XLU,NA,NA,USD
2026-01-16T05:00:00.000Z,43.0887489319,0.0,43.2178474215,42.6418724588,42.8702751477,27803600,0.0,0.0,XLU,NA,NA,USD
2026-01-20T05:00:00.000Z,42.66173172,0.0,43.0589560717,42.5326370257,42.820620703,25300900,0.0,0.0,XLU,NA,NA,USD
2026-01-21T05:00:00.000Z,42.7213172913,0.0,43.0093047621,42.3936066269,43.0093047621,33736500,0.0,0.0,XLU,NA,NA,USD
2026-01-22T05:00:00.000Z,42.4134674072,0.0,42.9695807414,42.3042305212,42.9000670482,26170700,0.0,0.0,XLU,NA,NA,USD
2026-01-23T05:00:00.000Z,42.2645111084,0.0,42.4531905917,42.0063141436,42.413467399,26527200,0.0,0.0,XLU,NA,NA,USD
2026-01-26T05:00:00.000Z,42.5723571777,0.0,42.8802062451,42.3638160941,42.4035392876,19254000,0.0,0.0,XLU,NA,NA,USD
2026-01-27T05:00:00.000Z,43.1284713745,0.0,43.2476371692,42.3042321399,42.5227059203,31070500,0.0,0.0,XLU,NA,NA,USD
2026-01-28T05:00:00.000Z,43.0291671753,0.0,43.3668029621,42.830554992,43.1979850687,25183600,0.0,0.0,XLU,NA,NA,USD
2026-01-29T05:00:00.000Z,43.0291671753,0.0,43.4661109479,42.7809028933,43.2079139732,27417900,0.0,0.0,XLU,NA,NA,USD
2026-01-30T05:00:00.000Z,42.94972229,0.0,43.0788207819,42.4730553065,42.9298606922,27998400,0.0,0.0,XLU,NA,NA,USD
2026-02-02T05:00:00.000Z,42.324092865,0.0,43.1781225836,42.2545791705,42.9993720012,32847600,0.0,0.0,XLU,NA,NA,USD
2026-02-03T05:00:00.000Z,42.9397926331,0.0,43.1185394341,42.3638176704,42.3638176704,35525500,0.0,0.0,XLU,NA,NA,USD
2026-02-04T05:00:00.000Z,42.7809028625,0.0,43.3469451221,42.6915275696,43.1681945361,30994300,0.0,0.0,XLU,NA,NA,USD
2026-02-05T05:00:00.000Z,42.8007621765,0.0,43.0688880649,42.5723594838,42.9199317635,31475400,0.0,0.0,XLU,NA,NA,USD
2026-02-06T05:00:00.000Z,43.0490264893,0.0,43.5554877637,42.6815963997,43.1880576741,30530100,0.0,0.0,XLU,NA,NA,USD
2026-02-09T05:00:00.000Z,43.1781234741,0.0,43.24763717,42.7610412987,43.0688865839,21173900,0.0,0.0,XLU,NA,NA,USD
2026-02-10T05:00:00.000Z,43.8931274414,0.0,44.2208343359,43.2575714621,43.4462509596,34683600,0.0,0.0,XLU,NA,NA,USD
2026-02-11T05:00:00.000Z,44.280418396,0.0,44.3201415911,43.8335419216,44.0520157065,25614800,0.0,0.0,XLU,NA,NA,USD
2026-02-12T05:00:00.000Z,44.935836792,0.0,45.4224364705,44.4293793038,44.4790314045,45623300,0.0,0.0,XLU,NA,NA,USD
2026-02-13T05:00:00.000Z,46.1771583557,0.0,46.2764625573,44.8861847937,44.8861847937,42451800,0.0,0.0,XLU,NA,NA,USD
2026-02-17T05:00:00.000Z,46.0579910278,0.0,46.7531317807,45.9189636349,46.4750732066,32424000,0.0,0.0,XLU,NA,NA,USD
2026-02-18T05:00:00.000Z,45.2933349609,0.0,46.2863920615,45.194026978,46.2863920615,32841500,0.0,0.0,XLU,NA,NA,USD
2026-02-19T05:00:00.000Z,45.7898635864,0.0,45.8593772805,45.3628487294,45.4621529244,24172500,0.0,0.0,XLU,NA,NA,USD
2026-02-20T05:00:00.000Z,46.0083389282,0.0,46.1672279185,45.5614624594,45.9785446382,22623200,0.0,0.0,XLU,NA,NA,USD
2026-02-23T05:00:00.000Z,46.3559074402,0.0,46.6339622262,46.0480583641,46.1473663507,33130900,0.0,0.0,XLU,NA,NA,USD
2026-02-24T05:00:00.000Z,46.8722991943,0.0,46.9020896972,45.9686173209,46.3161858152,29503300,0.0,0.0,XLU,NA,NA,USD
2026-02-25T05:00:00.000Z,47.0311851501,0.0,47.1006988445,46.2764596281,46.8822250689,22356600,0.0,0.0,XLU,NA,NA,USD
2026-02-26T05:00:00.000Z,46.8524360657,0.0,47.0609771554,46.5843101839,46.9418113596,30578600,0.0,0.0,XLU,NA,NA,USD
2026-02-27T05:00:00.000Z,47.3986167908,0.0,47.4681304874,46.8027840226,46.8722977193,39759600,0.0,0.0,XLU,NA,NA,USD
2026-03-02T05:00:00.000Z,47.0411148071,0.0,47.4085486698,47.0311859027,47.0808380012,33087300,0.0,0.0,XLU,NA,NA,USD
2026-03-03T05:00:00.000Z,46.7431983948,0.0,47.1205611616,45.6409043841,46.3757683206,60946600,0.0,0.0,XLU,NA,NA,USD
2026-03-04T05:00:00.000Z,46.9418106079,0.0,47.0907669033,46.4353493543,46.7630600229,24020800,0.0,0.0,XLU,NA,NA,USD
2026-03-05T05:00:00.000Z,46.574382782,0.0,46.6935485817,46.1473678959,46.6240348828,29794500,0.0,0.0,XLU,NA,NA,USD
2026-03-06T05:00:00.000Z,46.4154930115,0.0,46.6339630092,46.0182686349,46.3062561185,25001700,0.0,0.0,XLU,NA,NA,USD
2026-03-09T04:00:00.000Z,46.5247268677,0.0,46.6240348575,45.720352985,46.2367431676,27759000,0.0,0.0,XLU,NA,NA,USD
2026-03-10T04:00:00.000Z,46.2367401123,0.0,46.7134070675,46.1473648214,46.3161827107,24935900,0.0,0.0,XLU,NA,NA,USD
2026-03-11T04:00:00.000Z,45.849445343,0.0,46.2367408013,45.6806274512,46.1771560105,20026100,0.0,0.0,XLU,NA,NA,USD
2026-03-12T04:00:00.000Z,46.1771583557,0.0,46.7134101361,45.6409065753,45.6806297712,27419900,0.0,0.0,XLU,NA,NA,USD
2026-03-13T04:00:00.000Z,46.6339607239,0.0,46.9914618877,46.5346565287,46.6438934163,31521000,0.0,0.0,XLU,NA,NA,USD
2026-03-16T04:00:00.000Z,46.9318771362,0.0,47.1702125083,46.624031858,47.1205604107,19775400,0.0,0.0,XLU,NA,NA,USD
2026-03-17T04:00:00.000Z,46.8027839661,0.0,47.3092414395,46.7531318668,47.1900756437,18502300,0.0,0.0,XLU,NA,NA,USD
2026-03-18T04:00:00.000Z,46.4055595398,0.0,46.822645507,46.4055595398,46.6240333221,31063500,0.0,0.0,XLU,NA,NA,USD
2026-03-19T04:00:00.000Z,46.2168807983,0.0,46.5743819794,45.720352222,46.3261176913,29544000,0.0,0.0,XLU,NA,NA,USD
2026-03-20T04:00:00.000Z,44.3400039673,0.0,46.3360472037,44.1215301786,46.1374350129,47128300,0.0,0.0,XLU,NA,NA,USD
2026-03-23T04:00:00.000Z,44.7799987793,0.31,45.1899986267,44.5699996948,44.9300003052,31574300,0.0,0.0,XLU,NA,NA,USD
2026-03-24T04:00:00.000Z,45.0900001526,0.0,45.5400009155,44.4900016785,44.5600013733,24183800,0.0,0.0,XLU,NA,NA,USD
2026-03-25T04:00:00.000Z,45.25,0.0,45.6500015259,45.2099990845,45.5200004578,22297400,0.0,0.0,XLU,NA,NA,USD
2026-03-26T04:00:00.000Z,45.3300018311,0.0,45.4799995422,45.0200004578,45.2400016785,19988000,0.0,0.0,XLU,NA,NA,USD
2026-03-27T04:00:00.000Z,45.5900001526,0.0,46.0800018311,45.2999992371,45.3699989319,26172900,0.0,0.0,XLU,NA,NA,USD
2026-03-30T04:00:00.000Z,45.9199981689,0.0,46.3400001526,45.7599983215,46.1699981689,28363600,0.0,0.0,XLU,NA,NA,USD
2026-03-31T04:00:00.000Z,45.8899993896,0.0,45.9500007629,45.2599983215,45.8499984741,42852800,0.0,0.0,XLU,NA,NA,USD
2026-04-01T04:00:00.000Z,46.1100006104,0.0,46.2799987793,45.7000007629,45.7799987793,31185100,0.0,0.0,XLU,NA,NA,USD
2026-04-02T04:00:00.000Z,46.3400001526,0.0,46.5900001526,45.9099998474,46.0400009155,17331800,0.0,0.0,XLU,NA,NA,USD
2026-04-06T04:00:00.000Z,46.1699981689,0.0,46.5,46.0900001526,46.1500015259,12939500,0.0,0.0,XLU,NA,NA,USD
2026-04-07T04:00:00.000Z,46.2700004578,0.0,46.4300003052,46.0400009155,46.0600013733,13657000,0.0,0.0,XLU,NA,NA,USD
2026-04-08T04:00:00.000Z,46.7799987793,0.0,46.7799987793,45.9799995422,46.2900009155,18879700,0.0,0.0,XLU,NA,NA,USD
2026-04-09T04:00:00.000Z,47.1500015259,0.0,47.7099990845,46.6199989319,46.6599998474,23274600,0.0,0.0,XLU,NA,NA,USD
2026-04-10T04:00:00.000Z,46.9599990845,0.0,47.4599990845,46.8699989319,47.0600013733,15052100,0.0,0.0,XLU,NA,NA,USD
2026-04-13T04:00:00.000Z,46.3899993896,0.0,46.8800010681,46.1199989319,46.8400001526,17795700,0.0,0.0,XLU,NA,NA,USD
2026-04-14T04:00:00.000Z,46.4700012207,0.0,46.5600013733,45.9000015259,46.4000015259,25118600,0.0,0.0,XLU,NA,NA,USD
2026-04-15T04:00:00.000Z,46.0200004578,0.0,46.3199996948,45.8800010681,46.3100013733,24843900,0.0,0.0,XLU,NA,NA,USD
2026-04-16T04:00:00.000Z,46.3499984741,0.0,46.3699989319,45.8400001526,46.0,26945000,0.0,0.0,XLU,NA,NA,USD
2026-04-17T04:00:00.000Z,46.1599998474,0.0,46.2799987793,45.6399993896,46.2299995422,17601500,0.0,0.0,XLU,NA,NA,USD
2026-04-20T04:00:00.000Z,45.75,0.0,46.3400001526,45.6500015259,46.1199989319,14376100,0.0,0.0,XLU,NA,NA,USD
2026-04-21T04:00:00.000Z,44.9500007629,0.0,45.9500007629,44.9099998474,45.9099998474,19596900,0.0,0.0,XLU,NA,NA,USD
2026-04-22T04:00:00.000Z,44.8699989319,0.0,45.6199989319,44.7099990845,45.3400001526,21731700,0.0,0.0,XLU,NA,NA,USD
2026-04-23T04:00:00.000Z,46.0900001526,0.0,46.1399993896,45.2000007629,45.3699989319,23864300,0.0,0.0,XLU,NA,NA,USD
2026-04-24T04:00:00.000Z,46.1800003052,0.0,46.2999992371,45.7400016785,46.0299987793,24158700,0.0,0.0,XLU,NA,NA,USD
2026-04-27T04:00:00.000Z,46.1899986267,0.0,46.5,46.1699981689,46.3699989319,14543100,0.0,0.0,XLU,NA,NA,USD
2026-04-28T04:00:00.000Z,46.25,0.0,46.5200004578,46.0400009155,46.4399986267,13016000,0.0,0.0,XLU,NA,NA,USD
2026-04-29T04:00:00.000Z,45.6800003052,0.0,46.2700004578,45.5600013733,46.0699996948,12655100,0.0,0.0,XLU,NA,NA,USD
2026-04-30T04:00:00.000Z,46.8499984741,0.0,46.8899993896,45.8499984741,45.8499984741,22378500,0.0,0.0,XLU,NA,NA,USD
2026-05-01T04:00:00.000Z,46.5499992371,0.0,47.2999992371,46.5200004578,46.8400001526,15507000,0.0,0.0,XLU,NA,NA,USD
2026-05-04T04:00:00.000Z,46.3699989319,0.0,46.8499984741,46.0900001526,46.2599983215,18054200,0.0,0.0,XLU,NA,NA,USD
2026-05-05T04:00:00.000Z,46.3699989319,0.0,46.8199996948,46.3600006104,46.5299987793,17499600,0.0,0.0,XLU,NA,NA,USD
2026-05-06T04:00:00.000Z,45.7099990845,0.0,46.3800010681,45.6399993896,46.2799987793,26315500,0.0,0.0,XLU,NA,NA,USD
2026-05-07T04:00:00.000Z,45.1199989319,0.0,45.6800003052,45.0,45.6199989319,23499400,0.0,0.0,XLU,NA,NA,USD
2026-05-08T04:00:00.000Z,44.7200012207,0.0,45.5099983215,44.6899986267,45.3600006104,18158100,0.0,0.0,XLU,NA,NA,USD
2026-05-11T04:00:00.000Z,45.1399993896,0.0,45.3100013733,44.8300018311,45.0999984741,22669300,0.0,0.0,XLU,NA,NA,USD
2026-05-12T04:00:00.000Z,45.1899986267,0.0,45.3800010681,44.7999992371,45.0600013733,28240500,0.0,0.0,XLU,NA,NA,USD
2026-05-13T04:00:00.000Z,44.6699981689,0.0,44.8199996948,44.3600006104,44.7999992371,27268600,0.0,0.0,XLU,NA,NA,USD
2026-05-14T04:00:00.000Z,44.9000015259,0.0,44.9199981689,44.5499992371,44.6300010681,18472900,0.0,0.0,XLU,NA,NA,USD
2026-05-15T04:00:00.000Z,43.8699989319,0.0,44.7700004578,43.8300018311,44.7099990845,21857600,0.0,0.0,XLU,NA,NA,USD
2026-05-18T04:00:00.000Z,43.9399986267,0.0,44.2099990845,43.5299987793,44.0699996948,31554300,0.0,0.0,XLU,NA,NA,USD
2026-05-19T04:00:00.000Z,44.3400001526,0.0,44.4099998474,43.6199989319,43.8199996948,22307100,0.0,0.0,XLU,NA,NA,USD
2026-05-20T04:00:00.000Z,44.5099983215,0.0,44.8600006104,44.4099998474,44.6599998474,17584800,0.0,0.0,XLU,NA,NA,USD
2026-05-21T04:00:00.000Z,45.0,0.0,45.0099983215,44.4399986267,44.5499992371,18781100,0.0,0.0,XLU,NA,NA,USD
2026-05-22T04:00:00.000Z,45.3499984741,0.0,45.4399986267,44.9199981689,45.0600013733,15187100,0.0,0.0,XLU,NA,NA,USD
2026-05-26T04:00:00.000Z,45.3300018311,0.0,45.6399993896,45.3300018311,45.5900001526,13738200,0.0,0.0,XLU,NA,NA,USD
2026-05-27T04:00:00.000Z,45.1399993896,0.0,45.3699989319,44.9500007629,45.25,16869400,0.0,0.0,XLU,NA,NA,USD
2026-05-28T04:00:00.000Z,44.6300010681,0.0,45.2700004578,44.5800018311,45.0299987793,19383000,0.0,0.0,XLU,NA,NA,USD
2026-05-29T04:00:00.000Z,44.4199981689,0.0,44.7200012207,44.25,44.6699981689,23048500,0.0,0.0,XLU,NA,NA,USD
2026-06-01T04:00:00.000Z,43.0999984741,0.0,43.9599990845,43.0699996948,43.9000015259,31206300,0.0,0.0,XLU,NA,NA,USD
2026-06-02T04:00:00.000Z,43.9000015259,0.0,43.9599990845,43.1800003052,43.2099990845,27366300,0.0,0.0,XLU,NA,NA,USD
2026-06-03T04:00:00.000Z,43.7099990845,0.0,44.4799995422,43.6800003052,43.9599990845,21948600,0.0,0.0,XLU,NA,NA,USD
2026-06-04T04:00:00.000Z,43.9399986267,0.0,44.1100006104,43.3400001526,43.8699989319,18216500,0.0,0.0,XLU,NA,NA,USD
2026-06-05T04:00:00.000Z,44.3499984741,0.0,44.6199989319,43.9700012207,44.0400009155,21347200,0.0,0.0,XLU,NA,NA,USD
