Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2025-12-08T05:00:00.000Z,219.9980586368,223.3772862671,215.5851745594,219.1929931641,24711200,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
2025-12-09T05:00:00.000Z,218.6861177527,221.2602951252,216.9468062579,220.1769561768,17643600,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
2025-12-10T05:00:00.000Z,220.4453174982,223.9438226775,216.2510907347,221.6479187012,47928000,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
2025-12-11T05:00:00.000Z,189.4557531623,200.7563193906,185.0925663926,197.6354980469,100612700,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
2025-12-12T05:00:00.000Z,195.1706276032,196.6415991378,184.8440871332,188.8097229004,55201600,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
2025-12-15T05:00:00.000Z,187.1399699785,187.8158246123,180.2920528034,183.7905578613,43897500,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
2025-12-16T05:00:00.000Z,183.571900751,188.6407574361,183.3631918653,187.4977722168,32433500,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
2025-12-17T05:00:00.000Z,182.1903941661,185.3609130135,175.9885159514,177.3700256348,50222000,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
2025-12-18T05:00:00.000Z,181.6039924914,183.6315260014,177.4892791976,178.9304199219,36297300,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
2025-12-19T05:00:00.000Z,187.239379432,193.9282707091,186.9710242509,190.7975158691,77008600,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
2025-12-22T05:00:00.000Z,195.6178958686,197.5857984377,191.6522600083,197.1683654785,27148000,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
2025-12-23T05:00:00.000Z,195.2302505514,195.9955518427,191.0161570491,194.1469116211,18301600,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
2025-12-24T05:00:00.000Z,193.8090009005,197.0689664716,193.2325415395,196.2837982178,9282700,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
2025-12-26T05:00:00.000Z,196.8503110365,199.1461998757,194.91222404,196.78074646,11262000,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
2025-12-29T05:00:00.000Z,192.9741262461,197.2975485092,191.4634057536,194.1866760254,14748100,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
2025-12-30T05:00:00.000Z,194.8625231711,197.1683606015,194.5146699632,196.0055084229,14197400,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
2025-12-31T05:00:00.000Z,195.2203153055,195.9955500528,193.5406349647,193.719543457,10341500,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
2026-01-02T05:00:00.000Z,196.2639240356,197.3770786173,193.0238404265,194.5146789551,14540700,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
2026-01-05T05:00:00.000Z,197.1285921872,200.4581374085,191.1553050133,191.4137115479,22635500,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
2026-01-06T05:00:00.000Z,191.383900856,193.6897382955,189.5352605521,192.5666351318,16474500,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
2026-01-07T05:00:00.000Z,194.1071673765,194.4749026711,190.8273197846,191.6621856689,11171200,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
2026-01-08T05:00:00.000Z,189.7141671499,189.7837317248,185.0130456498,188.4916687012,19468500,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
2026-01-09T05:00:00.000Z,190.992946126,199.4832819894,188.1229648732,197.8290710449,26152700,0.5,0.0,ORCL,甲骨文,Oracle Corporation,USD
2026-01-12T05:00:00.000Z,196.9122755864,205.880951829,196.3243174764,203.9676208496,25428500,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
2026-01-13T05:00:00.000Z,204.2865122302,207.0767700726,199.9616209377,201.5859375,15857400,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
2026-01-14T05:00:00.000Z,200.9780623608,200.9780623608,190.1458993508,192.9361572266,22473200,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
2026-01-15T05:00:00.000Z,194.3312687381,194.3312687381,188.7308338261,189.189239502,16418600,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
2026-01-16T05:00:00.000Z,189.2490409283,191.2022108295,185.8807998137,190.4249267578,19224700,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
2026-01-20T05:00:00.000Z,186.5384939941,186.5384939941,178.7357442185,179.2937927246,29129500,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
2026-01-21T05:00:00.000Z,179.0546273363,179.971438713,170.0062431077,173.2748260498,38190000,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
2026-01-22T05:00:00.000Z,178.7457056604,179.532964615,175.8856994363,177.5598449707,21141900,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
2026-01-23T05:00:00.000Z,172.0192038769,179.0247352608,171.4013666073,176.5434112549,23011300,0.0,0.0,ORCL,甲骨文,Oracle Corporation,USD
