Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,thscode,thsname_cn,thsname_en,currency
2025-12-08T05:00:00.000Z,153.8095314113,154.0480323124,153.0641857669,153.4318847656,6721600,0.0,0.0,0.0,XLI,NA,NA,USD
2025-12-09T05:00:00.000Z,153.0443121184,154.0579864836,152.2393412147,152.3088989258,7375100,0.0,0.0,0.0,XLI,NA,NA,USD
2025-12-10T05:00:00.000Z,153.123813924,155.7474300358,152.8852978542,155.0915222168,13463300,0.0,0.0,0.0,XLI,NA,NA,USD
2025-12-11T05:00:00.000Z,154.9325144072,156.9002379009,154.7933838215,156.751159668,9999300,0.0,0.0,0.0,XLI,NA,NA,USD
2025-12-12T05:00:00.000Z,157.2381145906,157.4766306502,155.2902713477,155.7673034668,12062900,0.0,0.0,0.0,XLI,NA,NA,USD
2025-12-15T05:00:00.000Z,156.6020819719,156.7610926733,155.6381004456,156.0157470703,10889500,0.0,0.0,0.0,XLI,NA,NA,USD
2025-12-16T05:00:00.000Z,155.8766281358,156.313884851,154.445562045,155.0915222168,10277500,0.0,0.0,0.0,XLI,NA,NA,USD
2025-12-17T05:00:00.000Z,154.8033292338,155.4791020218,152.4182140175,152.5772247314,11612500,0.0,0.0,0.0,XLI,NA,NA,USD
2025-12-18T05:00:00.000Z,153.9287809179,154.8132571372,153.1039299236,153.5710144043,10021200,0.0,0.0,0.0,XLI,NA,NA,USD
2025-12-19T05:00:00.000Z,153.7300390058,155.151157542,153.6306535126,154.8927764893,6957800,0.0,0.0,0.0,XLI,NA,NA,USD
2025-12-22T05:00:00.000Z,155.6326898541,156.7395649605,155.273697987,156.6099395752,5369000,0.532,0.0,0.0,XLI,NA,NA,USD
2025-12-23T05:00:00.000Z,156.5800245842,156.9290347331,156.2409657208,156.5501098633,5044600,0.0,0.0,0.0,XLI,NA,NA,USD
2025-12-24T05:00:00.000Z,156.5501197995,157.2481553577,156.3606497446,157.0586853027,2238500,0.0,0.0,0.0,XLI,NA,NA,USD
2025-12-26T05:00:00.000Z,156.9190743426,156.9789037867,156.3506641918,156.7695007324,4155300,0.0,0.0,0.0,XLI,NA,NA,USD
2025-12-29T05:00:00.000Z,156.4703468817,157.1285012348,156.0914067604,156.4304504395,4455400,0.0,0.0,0.0,XLI,NA,NA,USD
2025-12-30T05:00:00.000Z,156.4503889753,156.6298925223,155.9517899901,155.9817047119,3810500,0.0,0.0,0.0,XLI,NA,NA,USD
2025-12-31T05:00:00.000Z,156.0515201143,156.1213160618,154.6255190655,154.6853485107,3691800,0.0,0.0,0.0,XLI,NA,NA,USD
2026-01-02T05:00:00.000Z,155.1839503312,157.56725298,154.5457442098,157.5373382568,10122900,0.0,0.0,0.0,XLI,NA,NA,USD
2026-01-05T05:00:00.000Z,157.8564397319,160.1200833561,157.8564397319,159.4020996094,16194200,0.0,0.0,0.0,XLI,NA,NA,USD
2026-01-06T05:00:00.000Z,158.9932521054,161.7056318921,158.7339708863,161.5660247803,12757200,0.0,0.0,0.0,XLI,NA,NA,USD
2026-01-07T05:00:00.000Z,162.034707857,162.1444002452,158.4248407644,158.5245666504,12333000,0.0,0.0,0.0,XLI,NA,NA,USD
2026-01-08T05:00:00.000Z,159.5716330469,160.9078747555,159.3123518208,159.721206665,11555400,0.0,0.0,0.0,XLI,NA,NA,USD
2026-01-09T05:00:00.000Z,160.1799121574,161.7654532517,160.1799121574,161.4762573242,9439600,0.0,0.0,0.0,XLI,NA,NA,USD
2026-01-12T05:00:00.000Z,161.1771208168,162.7925767398,160.9178395933,162.7127990723,7420500,0.0,0.0,0.0,XLI,NA,NA,USD
2026-01-13T05:00:00.000Z,163.4208049113,164.0789439941,162.9620871592,163.5504302979,9580400,0.0,0.0,0.0,XLI,NA,NA,USD
2026-01-14T05:00:00.000Z,163.3210903931,163.8396376237,162.3538070971,163.8097229004,10727100,0.0,0.0,0.0,XLI,NA,NA,USD
2026-01-15T05:00:00.000Z,164.6074734381,165.5847231717,164.5276957759,165.3154754639,9197400,0.0,0.0,0.0,XLI,NA,NA,USD
2026-01-16T05:00:00.000Z,165.9337435221,166.7315049768,165.6545292953,166.4323425293,13483100,0.0,0.0,0.0,XLI,NA,NA,USD
2026-01-20T05:00:00.000Z,164.2983419188,165.2456922199,162.7227672057,163.0717926025,14435200,0.0,0.0,0.0,XLI,NA,NA,USD
2026-01-21T05:00:00.000Z,163.9194120841,166.5420324768,163.709993809,165.8938598633,14068600,0.0,0.0,0.0,XLI,NA,NA,USD
2026-01-22T05:00:00.000Z,166.0932975943,166.5420336542,164.727141194,165.0362701416,9937200,0.0,0.0,0.0,XLI,NA,NA,USD
2026-01-23T05:00:00.000Z,165.0362694036,165.355380068,163.2512916743,163.7598571777,11673600,0.0,0.0,0.0,XLI,NA,NA,USD
2026-01-26T05:00:00.000Z,163.7598477531,164.2085837852,163.3908893826,163.9194030762,8231500,0.0,0.0,0.0,XLI,NA,NA,USD
2026-01-27T05:00:00.000Z,164.1986305383,164.916614334,163.2512954572,164.5975036621,9439300,0.0,0.0,0.0,XLI,NA,NA,USD
2026-01-28T05:00:00.000Z,163.95929846,164.8168893754,163.0618263183,163.6800842285,10144900,0.0,0.0,0.0,XLI,NA,NA,USD
2026-01-29T05:00:00.000Z,164.786972273,166.4423246327,163.5903376961,165.3952636719,16332500,0.0,0.0,0.0,XLI,NA,NA,USD
2026-01-30T05:00:00.000Z,164.1986272028,165.8439978252,163.2712251456,164.9764404297,11612500,0.0,0.0,0.0,XLI,NA,NA,USD
2026-02-02T05:00:00.000Z,164.7570524793,167.1503215595,164.5974971497,167.0605773926,11466600,0.0,0.0,0.0,XLI,NA,NA,USD
2026-02-03T05:00:00.000Z,167.0605762259,169.324219899,166.45228485,168.4666290283,16444000,0.0,0.0,0.0,XLI,NA,NA,USD
2026-02-04T05:00:00.000Z,169.5037026335,170.2914975319,167.379681355,168.9153594971,21338400,0.0,0.0,0.0,XLI,NA,NA,USD
2026-02-05T05:00:00.000Z,167.778564985,168.8455741582,166.9808035348,167.898223877,18699300,0.0,0.0,0.0,XLI,NA,NA,USD
2026-02-06T05:00:00.000Z,169.4139581248,172.9041509293,169.3341804633,172.694732666,11992100,0.0,0.0,0.0,XLI,NA,NA,USD
2026-02-09T05:00:00.000Z,172.3257817534,173.6420904004,172.1562599215,173.2132873535,9472200,0.0,0.0,0.0,XLI,NA,NA,USD
2026-02-10T05:00:00.000Z,173.223262428,174.3600674813,172.9440330035,173.4226989746,8820200,0.0,0.0,0.0,XLI,NA,NA,USD
2026-02-11T05:00:00.000Z,174.9284743321,176.2547495207,173.592232641,174.3500976562,12551900,0.0,0.0,0.0,XLI,NA,NA,USD
2026-02-12T05:00:00.000Z,175.2874539983,177.2619016739,171.9667830071,172.2659454346,18157000,0.0,0.0,0.0,XLI,NA,NA,USD
2026-02-13T05:00:00.000Z,172.6149823554,174.818781446,172.1562645738,173.6819763184,13617900,0.0,0.0,0.0,XLI,NA,NA,USD
2026-02-17T05:00:00.000Z,173.4326784037,175.4769373949,172.914131171,174.5894317627,13810800,0.0,0.0,0.0,XLI,NA,NA,USD
2026-02-18T05:00:00.000Z,174.8885889112,175.5068467978,173.891390918,174.5495300293,10623800,0.0,0.0,0.0,XLI,NA,NA,USD
2026-02-19T05:00:00.000Z,174.5694740472,176.4442110984,174.2603451113,175.8458862305,13431100,0.0,0.0,0.0,XLI,NA,NA,USD
2026-02-20T05:00:00.000Z,175.6364897599,177.7206299417,175.117942536,176.7333984375,13104100,0.0,0.0,0.0,XLI,NA,NA,USD
2026-02-23T05:00:00.000Z,175.9156929859,176.4242584597,173.8614676555,174.3401184082,10566600,0.0,0.0,0.0,XLI,NA,NA,USD
2026-02-24T05:00:00.000Z,174.0908311935,176.723433343,173.8814129154,176.4841003418,9756500,0.0,0.0,0.0,XLI,NA,NA,USD
