Date,Close,Dividends,High,Low,Open,Volume,Stock Splits,Capital Gains,thscode,thsname_cn,thsname_en,currency
2025-12-05T05:00:00.000Z,,,,,,0,2.0,0.0,XLE,NA,NA,USD
2025-12-08T05:00:00.000Z,44.7437515259,0.0,45.2363071548,44.5959870919,44.9801798812,27891900,0.0,0.0,XLE,NA,NA,USD
2025-12-09T05:00:00.000Z,45.0195884705,0.0,45.3939318276,44.7831600981,44.8225654532,20917400,0.0,0.0,XLE,NA,NA,USD
2025-12-10T05:00:00.000Z,45.49243927,0.0,45.5810994357,44.9506288169,45.1575012841,26255100,0.0,0.0,XLE,NA,NA,USD
2025-12-11T05:00:00.000Z,45.2757148743,0.0,45.5613980559,45.1575025694,45.2166106008,25827200,0.0,0.0,XLE,NA,NA,USD
2025-12-12T05:00:00.000Z,44.8324127197,0.0,45.5515472614,44.7142004183,45.3643737131,33161200,0.0,0.0,XLE,NA,NA,USD
2025-12-15T05:00:00.000Z,44.5171775818,0.0,44.9309262753,44.1526874588,44.9309262753,27521600,0.0,0.0,XLE,NA,NA,USD
2025-12-16T05:00:00.000Z,43.1577262878,0.0,44.1822391573,43.118320935,44.1625402388,49312400,0.0,0.0,XLE,NA,NA,USD
2025-12-17T05:00:00.000Z,44.11328125,0.0,44.2117946313,43.4040036945,43.4729611824,43375300,0.0,0.0,XLE,NA,NA,USD
2025-12-18T05:00:00.000Z,43.4729614258,0.0,44.0443240086,43.325193232,43.9852197375,29920200,0.0,0.0,XLE,NA,NA,USD
2025-12-19T05:00:00.000Z,43.4729614258,0.0,43.8670036793,43.374448044,43.591173726,31959600,0.0,0.0,XLE,NA,NA,USD
2025-12-22T05:00:00.000Z,43.9230194092,0.373,44.2012044267,43.8037994245,43.8534741023,23707400,0.0,0.0,XLE,NA,NA,USD
2025-12-23T05:00:00.000Z,44.2111358643,0.0,44.2608105398,43.9329546491,44.0819786758,19137500,0.0,0.0,XLE,NA,NA,USD
