Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,thscode,thsname_cn,thsname_en,currency
2025-12-08T05:00:00.000Z,152.0745766845,152.143986618,149.9424493996,150.1705322266,10996000,0.0,0.0,0.0,XLV,NA,NA,USD
2025-12-09T05:00:00.000Z,150.7358104003,151.4101475519,148.6036980823,148.7127838135,11543300,0.0,0.0,0.0,XLV,NA,NA,USD
2025-12-10T05:00:00.000Z,149.1292773558,150.9142944465,148.6235093992,150.8746337891,15534800,0.0,0.0,0.0,XLV,NA,NA,USD
2025-12-11T05:00:00.000Z,151.4894860358,153.0166862934,150.9936445476,152.3026733398,14703000,0.0,0.0,0.0,XLV,NA,NA,USD
2025-12-12T05:00:00.000Z,152.4712519745,153.2745127345,152.1340834066,152.7786712646,13175500,0.0,0.0,0.0,XLV,NA,NA,USD
2025-12-15T05:00:00.000Z,153.1852489122,155.0099416991,153.1554996377,154.8016967773,14681800,0.0,0.0,0.0,XLV,NA,NA,USD
2025-12-16T05:00:00.000Z,154.7421908412,154.8215272879,151.8167293545,152.7885894775,12491300,0.0,0.0,0.0,XLV,NA,NA,USD
2025-12-17T05:00:00.000Z,152.9472529413,153.4926815752,152.3919129256,152.5109100342,9093300,0.0,0.0,0.0,XLV,NA,NA,USD
2025-12-18T05:00:00.000Z,152.4712404401,153.8893396732,152.4018153763,152.6299133301,8876400,0.0,0.0,0.0,XLV,NA,NA,USD
2025-12-19T05:00:00.000Z,152.6398311273,154.4744505568,152.6398311273,153.6513519287,8571500,0.0,0.0,0.0,XLV,NA,NA,USD
2025-12-22T05:00:00.000Z,153.5188837026,154.7338900791,153.1703257661,154.6641845703,7063700,0.657,0.0,0.0,XLV,NA,NA,USD
2025-12-23T05:00:00.000Z,154.0566786963,155.0227085886,154.0068803644,154.3554534912,7465800,0.0,0.0,0.0,XLV,NA,NA,USD
2025-12-24T05:00:00.000Z,154.5347143223,155.3015661086,154.5147919497,155.1621398926,3085700,0.0,0.0,0.0,XLV,NA,NA,USD
2025-12-26T05:00:00.000Z,155.0525908246,155.4808230641,154.7139864683,155.4111175537,4439100,0.0,0.0,0.0,XLV,NA,NA,USD
2025-12-29T05:00:00.000Z,155.4310338706,155.8493125056,155.0426159993,155.172088623,6357300,0.0,0.0,0.0,XLV,NA,NA,USD
2025-12-30T05:00:00.000Z,155.0227106219,155.3413925967,154.5645872375,155.0426177979,4355000,0.0,0.0,0.0,XLV,NA,NA,USD
2025-12-31T05:00:00.000Z,154.9629569706,155.2019646499,154.1363532881,154.166229248,4199500,0.0,0.0,0.0,XLV,NA,NA,USD
2026-01-02T05:00:00.000Z,154.235942363,154.9330886523,152.9512304343,154.8733215332,10998000,0.0,0.0,0.0,XLV,NA,NA,USD
2026-01-05T05:00:00.000Z,153.9570883075,154.7538160609,152.3437256241,154.4052429199,17756200,0.0,0.0,0.0,XLV,NA,NA,USD
2026-01-06T05:00:00.000Z,154.5048298641,157.6817718933,154.5048298641,157.4427490234,17783800,0.0,0.0,0.0,XLV,NA,NA,USD
2026-01-07T05:00:00.000Z,157.8909075068,159.932517548,157.8909075068,159.0063323975,14505700,0.0,0.0,0.0,XLV,NA,NA,USD
2026-01-08T05:00:00.000Z,158.4984075265,159.842886482,156.9647192274,157.4726257324,17611000,0.0,0.0,0.0,XLV,NA,NA,USD
2026-01-09T05:00:00.000Z,157.6817828621,158.2793172839,156.6161562556,156.6659545898,12352000,0.0,0.0,0.0,XLV,NA,NA,USD
2026-01-12T05:00:00.000Z,156.6858736639,156.8551758397,155.3712706102,156.7356719971,12250100,0.0,0.0,0.0,XLV,NA,NA,USD
2026-01-13T05:00:00.000Z,157.0045599441,157.0244823171,155.1023912135,156.0982971191,11756500,0.0,0.0,0.0,XLV,NA,NA,USD
2026-01-14T05:00:00.000Z,155.9688170184,157.3431719652,155.8393443941,157.2136993408,13516800,0.0,0.0,0.0,XLV,NA,NA,USD
2026-01-15T05:00:00.000Z,156.6659560214,156.8053822408,154.7338961277,156.3173980713,15303400,0.0,0.0,0.0,XLV,NA,NA,USD
2026-01-16T05:00:00.000Z,155.9986956838,156.3273464461,155.0725105141,155.1023864746,11950300,0.0,0.0,0.0,XLV,NA,NA,USD
2026-01-20T05:00:00.000Z,153.3695013125,155.2816387261,152.602649551,154.7637634277,12775200,0.0,0.0,0.0,XLV,NA,NA,USD
2026-01-21T05:00:00.000Z,154.5645909575,157.8610370192,154.5147926238,157.6120605469,16393900,0.0,0.0,0.0,XLV,NA,NA,USD
2026-01-22T05:00:00.000Z,157.0045580916,158.5780912275,156.8551782861,157.6419372559,10881400,0.0,0.0,0.0,XLV,NA,NA,USD
