Date,Close,Dividends,High,Low,Open,Volume,Stock Splits,Capital Gains,thscode,thsname_cn,thsname_en,currency
2025-12-05T05:00:00.000Z,,,,,,0,2.0,0.0,XLB,NA,NA,USD
2025-12-08T05:00:00.000Z,43.0651893616,0.0,43.679273347,43.0354767782,43.659467477,11389100,0.0,0.0,XLB,NA,NA,USD
2025-12-09T05:00:00.000Z,42.9760475159,0.0,43.4019455064,42.9562378677,43.005760099,8801100,0.0,0.0,XLB,NA,NA,USD
2025-12-10T05:00:00.000Z,43.817943573,0.0,43.9169880425,42.93643117,42.93643117,10919500,0.0,0.0,XLB,NA,NA,USD
2025-12-11T05:00:00.000Z,44.6895446777,0.0,44.7885929237,43.8674650166,43.8674650166,11009200,0.0,0.0,XLB,NA,NA,USD
2025-12-12T05:00:00.000Z,44.7192611694,0.0,45.1451591827,44.5409781044,45.0758235212,14078600,0.0,0.0,XLB,NA,NA,USD
2025-12-15T05:00:00.000Z,44.6895446777,0.0,45.0064915083,44.422120081,44.9866818591,9228800,0.0,0.0,XLB,NA,NA,USD
2025-12-16T05:00:00.000Z,44.570690155,0.0,44.7786858023,44.2933626253,44.7489732179,9742300,0.0,0.0,XLB,NA,NA,USD
2025-12-17T05:00:00.000Z,44.7588768005,0.0,44.937159866,44.5112618517,44.5805937351,10935000,0.0,0.0,XLB,NA,NA,USD
2025-12-18T05:00:00.000Z,44.7390670776,0.0,45.1946814543,44.6994515574,44.838115324,8978100,0.0,0.0,XLB,NA,NA,USD
2025-12-19T05:00:00.000Z,44.9371604919,0.0,45.1055406242,44.6598329544,44.7687841379,10358000,0.0,0.0,XLB,NA,NA,USD
2025-12-22T05:00:00.000Z,45.4677963257,0.233,45.507620139,45.1293053061,45.1890372283,9862300,0.0,0.0,XLB,NA,NA,USD
2025-12-23T05:00:00.000Z,45.5474433899,0.0,45.597221257,45.3383740694,45.5773093506,8424800,0.0,0.0,XLB,NA,NA,USD
2025-12-24T05:00:00.000Z,45.637046814,0.0,45.686824683,45.4080655783,45.5275332235,2767600,0.0,0.0,XLB,NA,NA,USD
2025-12-26T05:00:00.000Z,45.9058532715,0.0,45.9357192342,45.6569601211,45.7465618071,5035800,0.0,0.0,XLB,NA,NA,USD
2025-12-29T05:00:00.000Z,45.5374908447,0.0,45.6569584893,45.3383755719,45.5374908447,6370400,0.0,0.0,XLB,NA,NA,USD
2025-12-30T05:00:00.000Z,45.5275344849,0.0,45.6470021333,45.4279787441,45.6071821157,4432100,0.0,0.0,XLB,NA,NA,USD
2025-12-31T05:00:00.000Z,45.1492156982,0.0,45.4677986251,45.1293075884,45.4080666999,5704300,0.0,0.0,XLB,NA,NA,USD
2026-01-02T05:00:00.000Z,45.9158058167,0.0,45.975541538,45.0695706522,45.3184637944,18031000,0.0,0.0,XLB,NA,NA,USD
2026-01-05T05:00:00.000Z,46.3737716675,0.0,46.5231052728,45.7963377597,45.8162496667,22033700,0.0,0.0,XLB,NA,NA,USD
2026-01-06T05:00:00.000Z,47.2896957397,0.0,47.4191212336,46.4832806136,46.5231044268,18351400,0.0,0.0,XLB,NA,NA,USD
2026-01-07T05:00:00.000Z,46.4733276367,0.0,47.3494325573,46.423549768,47.1304053777,16963400,0.0,0.0,XLB,NA,NA,USD
2026-01-08T05:00:00.000Z,47.2896957397,0.0,47.4191212336,46.065141969,46.2045215172,14918900,0.0,0.0,XLB,NA,NA,USD
2026-01-09T05:00:00.000Z,48.0463294983,0.0,48.0761992572,47.3494317529,47.379297714,11769700,0.0,0.0,XLB,NA,NA,USD
2026-01-12T05:00:00.000Z,48.3051795959,0.0,48.3947812755,47.9865966903,48.1558421974,12672800,0.0,0.0,XLB,NA,NA,USD
2026-01-13T05:00:00.000Z,48.514251709,0.0,48.5441176713,48.1757568775,48.3848262093,10797500,0.0,0.0,XLB,NA,NA,USD
2026-01-14T05:00:00.000Z,48.5341644287,0.0,48.9224371365,48.4146967797,48.5341644287,16029700,0.0,0.0,XLB,NA,NA,USD
2026-01-15T05:00:00.000Z,48.7432327271,0.0,48.8925701335,48.3947838423,48.5540753036,17883600,0.0,0.0,XLB,NA,NA,USD
2026-01-16T05:00:00.000Z,48.4644737244,0.0,48.5042975392,48.1458908011,48.3549601324,10769100,0.0,0.0,XLB,NA,NA,USD
2026-01-20T05:00:00.000Z,47.9766387939,0.0,48.3051795514,47.807393287,48.1359302466,17363800,0.0,0.0,XLB,NA,NA,USD
2026-01-21T05:00:00.000Z,49.0219955444,0.0,49.1613750981,48.4545156795,48.6038530857,16940400,0.0,0.0,XLB,NA,NA,USD
2026-01-22T05:00:00.000Z,49.3007545471,0.0,49.6093834137,49.1315052339,49.1514171412,14648300,0.0,0.0,XLB,NA,NA,USD
2026-01-23T05:00:00.000Z,49.7487640381,0.0,49.7686759458,49.1414641444,49.2410198853,19550700,0.0,0.0,XLB,NA,NA,USD
2026-01-26T05:00:00.000Z,49.8084945679,0.0,50.2565029849,49.7985405132,50.1967672633,13900900,0.0,0.0,XLB,NA,NA,USD
2026-01-27T05:00:00.000Z,49.7587165833,0.0,49.9578318568,49.4600455719,49.6492029929,10123800,0.0,0.0,XLB,NA,NA,USD
2026-01-28T05:00:00.000Z,49.7288513184,0.0,49.9876985191,49.3206667109,49.8980968347,13517200,0.0,0.0,XLB,NA,NA,USD
2026-01-29T05:00:00.000Z,49.778629303,0.0,50.3958832429,49.0717736784,50.2266377263,20503700,0.0,0.0,XLB,NA,NA,USD
2026-01-30T05:00:00.000Z,49.0518608093,0.0,49.430179448,48.5938983402,49.0020829406,28082600,0.0,0.0,XLB,NA,NA,USD
2026-02-02T05:00:00.000Z,49.4301795959,0.0,49.5894710552,48.9821711801,49.031949049,25155300,0.0,0.0,XLB,NA,NA,USD
2026-02-03T05:00:00.000Z,50.475528717,0.0,50.9932268954,49.8383628968,49.9578305387,34077400,0.0,0.0,XLB,NA,NA,USD
2026-02-04T05:00:00.000Z,51.6602592468,0.0,51.7896847423,50.7841543355,50.7841543355,35878600,0.0,0.0,XLB,NA,NA,USD
2026-02-05T05:00:00.000Z,50.2764129639,0.0,51.2918974042,50.1370334168,51.1525178571,25667300,0.0,0.0,XLB,NA,NA,USD
2026-02-06T05:00:00.000Z,51.2819404602,0.0,51.3914540485,50.6348205804,50.6348205804,14367300,0.0,0.0,XLB,NA,NA,USD
2026-02-09T05:00:00.000Z,51.9489784241,0.0,52.0784039251,51.0430075126,51.2421227916,12325200,0.0,0.0,XLB,NA,NA,USD
2026-02-10T05:00:00.000Z,52.675743103,0.0,52.7553907294,51.8892398825,51.9191096413,18381400,0.0,0.0,XLB,NA,NA,USD
2026-02-11T05:00:00.000Z,53.382598877,0.0,53.4323767447,52.8748585493,52.8748585493,24891300,0.0,0.0,XLB,NA,NA,USD
2026-02-12T05:00:00.000Z,52.5960998535,0.0,53.9002974687,52.5064981717,53.432377153,30108100,0.0,0.0,XLB,NA,NA,USD
