Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2025-12-08T05:00:00.000Z,33.8199996948,34.8499984741,33.6100006104,34.6199989319,9056500,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2025-12-09T05:00:00.000Z,34.5800018311,35.1500015259,33.8849983215,34.8400001526,13739400,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2025-12-10T05:00:00.000Z,37.2000007629,37.3400001526,34.4099998474,35.3699989319,22545300,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2025-12-11T05:00:00.000Z,35.1399993896,37.0099983215,33.9150009155,34.1699981689,10458400,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2025-12-12T05:00:00.000Z,33.9799995422,34.1160011292,32.7099990845,32.7400016785,9465400,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2025-12-15T05:00:00.000Z,32.7999992371,33.7299995422,32.6100006104,33.1399993896,12033700,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2025-12-16T05:00:00.000Z,33.2299995422,33.7700004578,32.9000015259,33.3400001526,8703600,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2025-12-17T05:00:00.000Z,33.3899993896,33.75,32.7900009155,32.7900009155,8697000,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2025-12-18T05:00:00.000Z,33.0099983215,33.1300010681,32.0299987793,32.2700004578,7434700,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2025-12-19T05:00:00.000Z,32.6100006104,32.7599983215,32.0600013733,32.4599990845,8555400,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2025-12-22T05:00:00.000Z,32.1599998474,32.4900016785,31.8299999237,32.4799995422,6933900,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2025-12-23T05:00:00.000Z,32.2999992371,32.4599990845,31.5450000763,31.9899997711,6587300,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2025-12-24T05:00:00.000Z,31.9899997711,32.0600013733,31.6200008392,31.9500007629,2757300,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2025-12-26T05:00:00.000Z,32.0,32.5400009155,31.7999992371,32.4900016785,3936200,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2025-12-29T05:00:00.000Z,32.4000015259,33.4300003052,32.3899993896,33.2599983215,7095600,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2025-12-30T05:00:00.000Z,33.2400016785,33.5400009155,32.7799987793,32.8499984741,7343300,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2025-12-31T05:00:00.000Z,32.9000015259,33.3699989319,32.5900001526,33.0499992371,6113500,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-01-02T05:00:00.000Z,32.9599990845,33.9700012207,32.9500007629,33.4900016785,5488400,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-01-05T05:00:00.000Z,33.6599998474,33.75,32.1100006104,32.1500015259,8996900,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-01-06T05:00:00.000Z,32.0,32.6599998474,31.5100002289,32.1599998474,8534400,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-01-07T05:00:00.000Z,32.2799987793,32.5,31.9699993134,32.0,6103200,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-01-08T05:00:00.000Z,31.8999996185,32.1399993896,31.2600002289,31.4400005341,6733100,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-01-09T05:00:00.000Z,31.4599990845,32.5750007629,30.8199996948,32.1699981689,7846300,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-01-12T05:00:00.000Z,32.4099998474,34.3100013733,32.2000007629,33.9900016785,10584500,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-01-13T05:00:00.000Z,33.7200012207,34.1100006104,32.5200004578,33.4199981689,7452300,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-01-14T05:00:00.000Z,33.5499992371,33.6300010681,31.8400001526,32.0699996948,6809300,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-01-15T05:00:00.000Z,32.3199996948,32.7999992371,31.75,32.7700004578,6291100,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-01-16T05:00:00.000Z,33.0,34.8499984741,32.9399986267,33.7400016785,13872100,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
