Date,Close,Dividends,High,Low,Open,Volume,Stock Splits,Capital Gains,thscode,thsname_cn,thsname_en,currency
2025-12-05T05:00:00.000Z,,,,,,0,2.0,0.0,XLK,NA,NA,USD
2025-12-08T05:00:00.000Z,147.2233734131,0.0,147.9713076162,146.5153223388,147.0239121188,8272800,0.0,0.0,XLK,NA,NA,USD
2025-12-09T05:00:00.000Z,147.6122894287,0.0,147.8416516427,146.5552115886,146.9341545472,6978200,0.0,0.0,XLK,NA,NA,USD
2025-12-10T05:00:00.000Z,148.3203277588,0.0,148.8089835608,146.4156003055,147.2831990726,8961100,0.0,0.0,XLK,NA,NA,USD
2025-12-11T05:00:00.000Z,147.5624237061,0.0,147.7219866444,144.7103008542,146.654926613,9769300,0.0,0.0,XLK,NA,NA,USD
2025-12-12T05:00:00.000Z,143.2942199707,0.0,146.6748818817,142.8653964582,146.535268109,14873200,0.0,0.0,XLK,NA,NA,USD
2025-12-15T05:00:00.000Z,141.9080505371,0.0,144.2316345884,141.6288229892,144.0222063191,10790300,0.0,0.0,XLK,NA,NA,USD
2025-12-16T05:00:00.000Z,142.1673278809,0.0,142.5762022219,140.9108039243,141.5191243386,10790900,0.0,0.0,XLK,NA,NA,USD
2025-12-17T05:00:00.000Z,139.0060577393,0.0,142.4465518715,138.9362584629,142.3268872738,18178700,0.0,0.0,XLK,NA,NA,USD
2025-12-18T05:00:00.000Z,141.1501464844,0.0,142.0277275499,140.4022122263,141.4692724052,12319500,0.0,0.0,XLK,NA,NA,USD
2025-12-19T05:00:00.000Z,144.2017211914,0.0,144.2216551475,142.1773138219,142.197247778,14265900,0.0,0.0,XLK,NA,NA,USD
2025-12-22T05:00:00.000Z,144.9797363281,0.219,145.8286716095,144.4703599195,145.8286716095,8864500,0.0,0.0,XLK,NA,NA,USD
2025-12-23T05:00:00.000Z,145.7687530518,0.0,145.7987145779,144.1807312061,144.5602641905,7546100,0.0,0.0,XLK,NA,NA,USD
2025-12-24T05:00:00.000Z,146.1183319092,0.0,146.318080507,145.4990914443,145.608955459,3676300,0.0,0.0,XLK,NA,NA,USD
2025-12-26T05:00:00.000Z,146.3480377197,0.0,146.7974758614,146.0584045475,146.4279402044,5052900,0.0,0.0,XLK,NA,NA,USD
2025-12-29T05:00:00.000Z,145.6888580322,0.0,146.1982344827,144.8598868731,145.1695147257,9822300,0.0,0.0,XLK,NA,NA,USD
2025-12-30T05:00:00.000Z,145.2294311523,0.0,146.0783664646,145.199469626,145.6688871916,6387400,0.0,0.0,XLK,NA,NA,USD
2025-12-31T05:00:00.000Z,143.7912139893,0.0,145.6189432569,143.7212936027,145.5290586797,9528400,0.0,0.0,XLK,NA,NA,USD
2026-01-02T05:00:00.000Z,144.120803833,0.0,146.3380481412,143.2319096907,145.4491539989,15299500,0.0,0.0,XLK,NA,NA,USD
2026-01-05T05:00:00.000Z,144.4403991699,0.0,146.2082053674,144.0708635302,145.8286723926,17476300,0.0,0.0,XLK,NA,NA,USD
2026-01-06T05:00:00.000Z,146.467880249,0.0,146.5877415931,144.4503997085,145.0296812787,14985700,0.0,0.0,XLK,NA,NA,USD
2026-01-07T05:00:00.000Z,146.3480377197,0.0,147.196988285,145.8586407157,146.3480377197,13957100,0.0,0.0,XLK,NA,NA,USD
2026-01-08T05:00:00.000Z,144.0608825684,0.0,145.7487710583,143.3217960432,145.7487710583,16870100,0.0,0.0,XLK,NA,NA,USD
2026-01-09T05:00:00.000Z,145.9685058594,0.0,146.3979798131,143.8511433373,144.3904813034,15652600,0.0,0.0,XLK,NA,NA,USD
2026-01-12T05:00:00.000Z,146.607711792,0.0,147.1070908999,144.86988225,145.0097077906,12867200,0.0,0.0,XLK,NA,NA,USD
2026-01-13T05:00:00.000Z,146.2980957031,0.0,147.3368127572,145.6688884052,146.6676465973,16552200,0.0,0.0,XLK,NA,NA,USD
2026-01-14T05:00:00.000Z,144.5203094482,0.0,145.7487777752,143.1420334862,145.3193190615,22104200,0.0,0.0,XLK,NA,NA,USD
2026-01-15T05:00:00.000Z,145.2793731689,0.0,147.3867535616,145.1295502964,146.7475336891,17370900,0.0,0.0,XLK,NA,NA,USD
2026-01-16T05:00:00.000Z,145.439163208,0.0,146.7675134337,144.839917436,146.5378033164,14156700,0.0,0.0,XLK,NA,NA,USD
2026-01-20T05:00:00.000Z,141.6638641357,0.0,143.9210674962,141.4341540093,142.9123119272,20029200,0.0,0.0,XLK,NA,NA,USD
2026-01-21T05:00:00.000Z,143.6314086914,0.0,144.8598769622,141.7837152375,142.6026890048,27892800,0.0,0.0,XLK,NA,NA,USD
2026-01-22T05:00:00.000Z,144.700088501,0.0,145.5190622754,143.9809813996,145.4291776977,12971600,0.0,0.0,XLK,NA,NA,USD
2026-01-23T05:00:00.000Z,144.9098205566,0.0,145.6489070956,143.5714882541,144.3505184147,14654500,0.0,0.0,XLK,NA,NA,USD
2026-01-26T05:00:00.000Z,145.8986053467,0.0,146.5278279138,144.7100806042,145.0896136117,10195600,0.0,0.0,XLK,NA,NA,USD
2026-01-27T05:00:00.000Z,147.8661499023,0.0,148.4354341337,146.8474123033,147.2369273794,12436200,0.0,0.0,XLK,NA,NA,USD
2026-01-28T05:00:00.000Z,149.0446777344,0.0,149.7138438808,148.4254525445,148.814967622,19497400,0.0,0.0,XLK,NA,NA,USD
2026-01-29T05:00:00.000Z,146.6876068115,0.0,147.746288028,143.0920865616,147.6564034507,25581000,0.0,0.0,XLK,NA,NA,USD
2026-01-30T05:00:00.000Z,143.7013397217,0.0,146.5677709792,142.8124455022,145.8586459269,18342600,0.0,0.0,XLK,NA,NA,USD
2026-02-02T05:00:00.000Z,145.0796051025,0.0,145.968499257,143.2119322166,143.3517577497,16337600,0.0,0.0,XLK,NA,NA,USD
2026-02-03T05:00:00.000Z,141.9035644531,0.0,145.788733175,139.9959326663,145.6988485961,30464500,0.0,0.0,XLK,NA,NA,USD
2026-02-04T05:00:00.000Z,137.9484710693,0.0,140.8348815189,135.9409726703,140.6551123666,45649500,0.0,0.0,XLK,NA,NA,USD
2026-02-05T05:00:00.000Z,135.4615783691,0.0,138.3080300706,134.9122583159,137.0496002358,42950900,0.0,0.0,XLK,NA,NA,USD
2026-02-06T05:00:00.000Z,140.9547424316,0.0,141.2943165447,137.2493429937,137.838606644,37131900,0.0,0.0,XLK,NA,NA,USD
2026-02-09T05:00:00.000Z,143.1719970703,0.0,143.8511453454,139.7362663518,140.4254119627,24629500,0.0,0.0,XLK,NA,NA,USD
2026-02-10T05:00:00.000Z,142.3729858398,0.0,143.9709898314,142.2131808687,143.6414130333,22564300,0.0,0.0,XLK,NA,NA,USD
2026-02-11T05:00:00.000Z,142.79246521,0.0,144.5802357342,141.1445202282,144.330546177,18905700,0.0,0.0,XLK,NA,NA,USD
2026-02-12T05:00:00.000Z,139.0371398926,0.0,143.5914749826,138.7474914716,143.1320394913,32154700,0.0,0.0,XLK,NA,NA,USD
2026-02-13T05:00:00.000Z,139.3866882324,0.0,140.7350178624,137.7587075331,139.3866882324,26637100,0.0,0.0,XLK,NA,NA,USD
2026-02-17T05:00:00.000Z,139.3067932129,0.0,140.2755899121,136.8498565092,138.4678399599,25743800,0.0,0.0,XLK,NA,NA,USD
2026-02-18T05:00:00.000Z,140.7350158691,0.0,141.9435047075,139.0970530977,139.8860653379,13705800,0.0,0.0,XLK,NA,NA,USD
2026-02-19T05:00:00.000Z,140.0358886719,0.0,140.5352677531,139.107035656,139.9160273293,13484000,0.0,0.0,XLK,NA,NA,USD
2026-02-20T05:00:00.000Z,140.7050628662,0.0,141.5739776406,138.797431009,139.0271411324,14942400,0.0,0.0,XLK,NA,NA,USD
2026-02-23T05:00:00.000Z,138.3479919434,0.0,140.4753365741,137.7187693924,140.0059189948,22021900,0.0,0.0,XLK,NA,NA,USD
2026-02-24T05:00:00.000Z,140.1457519531,0.0,140.7649771339,138.0183922012,139.0670913144,13030600,0.0,0.0,XLK,NA,NA,USD
2026-02-25T05:00:00.000Z,142.8323974609,0.0,143.161989479,141.0346449839,141.1844526103,13296000,0.0,0.0,XLK,NA,NA,USD
2026-02-26T05:00:00.000Z,140.8348846436,0.0,142.8324009918,139.0870578389,142.7624958443,19364900,0.0,0.0,XLK,NA,NA,USD
2026-02-27T05:00:00.000Z,138.587677002,0.0,139.5964324986,137.7687032342,138.1382388773,15328600,0.0,0.0,XLK,NA,NA,USD
2026-03-02T05:00:00.000Z,139.3667144775,0.0,139.7862063385,136.3904192669,136.8598368467,20156700,0.0,0.0,XLK,NA,NA,USD
2026-03-03T05:00:00.000Z,137.3292541504,0.0,138.1582252951,134.8223765246,136.1906703983,34153000,0.0,0.0,XLK,NA,NA,USD
2026-03-04T05:00:00.000Z,139.6663360596,0.0,140.4553635325,137.8685683413,138.3579653212,15201400,0.0,0.0,XLK,NA,NA,USD
2026-03-05T05:00:00.000Z,140.0059204102,0.0,141.08458112,137.9185193813,138.9871979952,19422500,0.0,0.0,XLK,NA,NA,USD
