Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,thscode,thsname_cn,thsname_en,currency
2025-12-08T05:00:00.000Z,77.2519035587,77.26177055,76.6304185813,76.7586593628,14602000,0.0,0.0,0.0,XLP,NA,NA,USD
2025-12-09T05:00:00.000Z,76.9263664264,77.1631215279,76.6008234578,76.9362258911,14040200,0.0,0.0,0.0,XLP,NA,NA,USD
2025-12-10T05:00:00.000Z,77.1335382631,77.3209659603,76.8770491456,77.1631317139,13945300,0.0,0.0,0.0,XLP,NA,NA,USD
2025-12-11T05:00:00.000Z,77.3505606455,78.0016390892,77.340693654,77.7352905273,13753800,0.0,0.0,0.0,XLP,NA,NA,USD
2025-12-12T05:00:00.000Z,77.8635313505,78.3863690093,77.7352905653,78.3469085693,14506900,0.0,0.0,0.0,XLP,NA,NA,USD
2025-12-15T05:00:00.000Z,78.5540749634,78.8302980599,78.248265943,78.5639419556,14499400,0.0,0.0,0.0,XLP,NA,NA,USD
2025-12-16T05:00:00.000Z,78.7119124745,78.8894806924,78.0312330517,78.2088012695,13055300,0.0,0.0,0.0,XLP,NA,NA,USD
2025-12-17T05:00:00.000Z,78.3173176576,78.8006948921,78.2778572164,78.5738067627,14268400,0.0,0.0,0.0,XLP,NA,NA,USD
2025-12-18T05:00:00.000Z,78.2581257779,78.7415029815,78.0706905754,78.1200180054,12117100,0.0,0.0,0.0,XLP,NA,NA,USD
2025-12-19T05:00:00.000Z,78.0509709085,78.0904313507,77.6958344551,77.7155609131,13142000,0.0,0.0,0.0,XLP,NA,NA,USD
2025-12-22T05:00:00.000Z,77.5335843609,77.762292747,77.2949298229,77.4440841675,10983600,0.627,0.0,0.0,XLP,NA,NA,USD
2025-12-23T05:00:00.000Z,77.3744805378,77.3844266902,76.9468870243,77.0761642456,7638500,0.0,0.0,0.0,XLP,NA,NA,USD
2025-12-24T05:00:00.000Z,77.1159376135,77.7523547774,77.1159376135,77.6827468872,4697100,0.0,0.0,0.0,XLP,NA,NA,USD
2025-12-26T05:00:00.000Z,77.6031905687,77.9711223129,77.5335826805,77.7921295166,8761300,0.0,0.0,0.0,XLP,NA,NA,USD
2025-12-29T05:00:00.000Z,77.7324653654,78.0407353936,77.7324653654,77.8418502808,9242300,0.0,0.0,0.0,XLP,NA,NA,USD
2025-12-30T05:00:00.000Z,77.6628546468,77.8915706215,77.6031929084,77.7125778198,5610900,0.0,0.0,0.0,XLP,NA,NA,USD
2025-12-31T05:00:00.000Z,77.5534711762,77.6827483939,77.2352625881,77.2452087402,5872000,0.0,0.0,0.0,XLP,NA,NA,USD
2026-01-02T05:00:00.000Z,77.2750345576,77.5335813894,76.867333387,77.2551498413,15968600,0.0,0.0,0.0,XLP,NA,NA,USD
2026-01-05T05:00:00.000Z,77.1258768953,77.1358230473,76.3303592263,76.9170532227,23429400,0.0,0.0,0.0,XLP,NA,NA,USD
2026-01-06T05:00:00.000Z,76.9071073656,77.255154408,76.7082298443,77.0363845825,17108100,0.0,0.0,0.0,XLP,NA,NA,USD
2026-01-07T05:00:00.000Z,77.1258726201,77.2551498293,76.1712469182,76.1911392212,18977200,0.0,0.0,0.0,XLP,NA,NA,USD
2026-01-08T05:00:00.000Z,76.1811948318,78.2893313805,76.0817560748,78.0009536743,26260100,0.0,0.0,0.0,XLP,NA,NA,USD
2026-01-09T05:00:00.000Z,77.9910094062,78.8959119801,77.9313476678,78.8064193726,18234000,0.0,0.0,0.0,XLP,NA,NA,USD
2026-01-12T05:00:00.000Z,79.0848530964,79.8207090406,78.8163676798,79.7312164307,26411200,0.0,0.0,0.0,XLP,NA,NA,USD
2026-01-13T05:00:00.000Z,79.761041887,80.7355598984,79.761041887,80.6560058594,26284200,0.0,0.0,0.0,XLP,NA,NA,USD
2026-01-14T05:00:00.000Z,80.6261801456,81.8890683525,80.5963492758,81.769744873,32494200,0.0,0.0,0.0,XLP,NA,NA,USD
2026-01-15T05:00:00.000Z,81.6404654401,82.0481742151,81.391864749,81.9089584351,29123700,0.0,0.0,0.0,XLP,NA,NA,USD
2026-01-16T05:00:00.000Z,81.6901905351,81.8194601663,81.2625970329,81.6504135132,23754200,0.0,0.0,0.0,XLP,NA,NA,USD
2026-01-20T05:00:00.000Z,81.4913009424,82.0978872165,80.9940995759,81.8990097046,19889000,0.0,0.0,0.0,XLP,NA,NA,USD
2026-01-21T05:00:00.000Z,81.710076027,82.1078386632,81.2029360628,81.9785690308,23029100,0.0,0.0,0.0,XLP,NA,NA,USD
2026-01-22T05:00:00.000Z,81.879117165,82.1078331311,81.5907470495,81.8095092773,15777300,0.0,0.0,0.0,XLP,NA,NA,USD
2026-01-23T05:00:00.000Z,81.9188982643,82.4757689799,81.8492903732,82.4459381104,20185600,0.0,0.0,0.0,XLP,NA,NA,USD
2026-01-26T05:00:00.000Z,82.5851510097,82.8635825645,82.1774422427,82.31665802,13188000,0.0,0.0,0.0,XLP,NA,NA,USD
2026-01-27T05:00:00.000Z,82.2967716942,82.7740807539,81.9885016903,82.6945343018,13532200,0.0,0.0,0.0,XLP,NA,NA,USD
2026-01-28T05:00:00.000Z,82.5354318741,82.9331945089,81.491305906,81.8592376709,16303200,0.0,0.0,0.0,XLP,NA,NA,USD
2026-01-29T05:00:00.000Z,81.8990116876,82.3862669144,81.55097224,81.6702957153,18799300,0.0,0.0,0.0,XLP,NA,NA,USD
2026-01-30T05:00:00.000Z,81.7200221109,83.0425796509,81.5708601741,83.0425796509,18174800,0.0,0.0,0.0,XLP,NA,NA,USD
2026-02-02T05:00:00.000Z,83.2911750466,84.1861390237,82.8238045482,84.0270309448,26041700,0.0,0.0,0.0,XLP,NA,NA,USD
2026-02-03T05:00:00.000Z,83.6491613522,85.8567290656,83.5894920287,85.3893661499,33052500,0.0,0.0,0.0,XLP,NA,NA,USD
2026-02-04T05:00:00.000Z,85.8368494783,86.8610831495,85.7374107156,86.5030975342,33748100,0.0,0.0,0.0,XLP,NA,NA,USD
2026-02-05T05:00:00.000Z,87.0897964082,87.1494581467,85.9860087267,86.4334869385,38772900,0.0,0.0,0.0,XLP,NA,NA,USD
2026-02-06T05:00:00.000Z,86.3638814297,87.5969387741,86.2147194927,87.4477844238,29568600,0.0,0.0,0.0,XLP,NA,NA,USD
2026-02-09T05:00:00.000Z,87.4179523555,87.7262147907,86.3937111154,86.9406356812,21853900,0.0,0.0,0.0,XLP,NA,NA,USD
2026-02-10T05:00:00.000Z,86.8411937257,87.3383950992,86.3340462004,86.6622009277,20908100,0.0,0.0,0.0,XLP,NA,NA,USD
2026-02-11T05:00:00.000Z,86.5030932514,88.2134671983,86.2445539983,87.9052047729,25588300,0.0,0.0,0.0,XLP,NA,NA,USD
2026-02-12T05:00:00.000Z,87.9946992607,89.5559113109,87.9946992607,88.7106704712,35282800,0.0,0.0,0.0,XLP,NA,NA,USD
2026-02-13T05:00:00.000Z,88.5515706873,89.4962502946,88.123977188,89.0089950562,25649700,0.0,0.0,0.0,XLP,NA,NA,USD
2026-02-17T05:00:00.000Z,89.128317988,89.6354655275,87.1594047421,87.7063217163,29819300,0.0,0.0,0.0,XLP,NA,NA,USD
2026-02-18T05:00:00.000Z,87.4378334142,88.0245273904,87.1295709919,87.5472183228,20422200,0.0,0.0,0.0,XLP,NA,NA,USD
2026-02-19T05:00:00.000Z,87.507445513,88.2035244312,86.8809744865,87.1792907715,18447200,0.0,0.0,0.0,XLP,NA,NA,USD
2026-02-20T05:00:00.000Z,87.1792862141,87.4577177668,86.6920309967,87.3980560303,17909400,0.0,0.0,0.0,XLP,NA,NA,USD
2026-02-23T05:00:00.000Z,87.1892349012,88.6708928996,87.1892349012,88.4720153809,22070900,0.0,0.0,0.0,XLP,NA,NA,USD
2026-02-24T05:00:00.000Z,88.4620684783,89.2774784368,88.2631909613,89.237701416,20364000,0.0,0.0,0.0,XLP,NA,NA,USD
2026-02-25T05:00:00.000Z,88.8399422009,88.9592732677,87.8256546866,88.5117950439,15215600,0.0,0.0,0.0,XLP,NA,NA,USD
2026-02-26T05:00:00.000Z,88.7603953858,89.1382657158,88.0941397489,88.3626327515,15925900,0.0,0.0,0.0,XLP,NA,NA,USD
2026-02-27T05:00:00.000Z,88.4819614335,89.5559106546,88.4620691297,89.5061950684,17314200,0.0,0.0,0.0,XLP,NA,NA,USD
2026-03-02T05:00:00.000Z,88.9393878327,89.2874272914,88.1935857414,88.213470459,27606700,0.0,0.0,0.0,XLP,NA,NA,USD
2026-03-03T05:00:00.000Z,87.8554800123,88.0145880914,86.6721459181,87.2488937378,36852400,0.0,0.0,0.0,XLP,NA,NA,USD
2026-03-04T05:00:00.000Z,87.3185053937,87.4676673275,86.4434336814,86.6721496582,22736400,0.0,0.0,0.0,XLP,NA,NA,USD
2026-03-05T05:00:00.000Z,85.8567331108,85.956179459,84.5838987555,84.9319458008,33738500,0.0,0.0,0.0,XLP,NA,NA,USD
2026-03-06T05:00:00.000Z,84.4446787603,85.3694736109,84.1463624907,85.2998657227,25859700,0.0,0.0,0.0,XLP,NA,NA,USD
2026-03-09T04:00:00.000Z,84.7927211845,85.677746633,84.3253582537,85.4888076782,20729100,0.0,0.0,0.0,XLP,NA,NA,USD
2026-03-10T04:00:00.000Z,85.2103729892,86.005890627,84.6833407523,85.2402038574,18864900,0.0,0.0,0.0,XLP,NA,NA,USD
2026-03-11T04:00:00.000Z,85.0711570449,85.1308187813,83.7386534344,84.1165237427,18432200,0.0,0.0,0.0,XLP,NA,NA,USD
2026-03-12T04:00:00.000Z,83.4502800131,84.4944059735,83.2215716208,83.7784347534,17861800,0.0,0.0,0.0,XLP,NA,NA,USD
2026-03-13T04:00:00.000Z,84.2358551668,84.63361778,84.0866932385,84.2656860352,13103600,0.0,0.0,0.0,XLP,NA,NA,USD
2026-03-16T04:00:00.000Z,84.7330571381,84.9816578248,84.3452406738,84.5043487549,12882500,0.0,0.0,0.0,XLP,NA,NA,USD
2026-03-17T04:00:00.000Z,84.9220005125,85.2004320822,84.1662522613,84.2259140015,12224900,0.0,0.0,0.0,XLP,NA,NA,USD
2026-03-18T04:00:00.000Z,83.5397789866,83.5596637039,82.1376674367,82.177444458,19412700,0.0,0.0,0.0,XLP,NA,NA,USD
2026-03-19T04:00:00.000Z,82.1575556083,82.5354259114,81.3719765477,81.5111923218,18581300,0.0,0.0,0.0,XLP,NA,NA,USD
